SYMBOL,NAME,FC
20MICRONS,20 Microns Limited,5
3IINFOTECH,3i Infotech Limited,10
3MINDIA,3M India Limited,10
63MOONS,63 moons technologies limited,2
8KMILES,8K Miles Software Services Limited,5
A2ZINFRA,A2Z Infra Engineering Limited,10
AARTIDRUGS,Aarti Drugs Limited,10
AARTIIND,Aarti Industries Limited,5
AARVEEDEN,Aarvee Denims & Exports Limited,10
ABAN,Aban Offshore Limited,2
ABB,ABB India Limited,2
ABBOTINDIA,Abbott India Limited,10
ABCAPITAL,Aditya Birla Capital Limited,10
ABFRL,Aditya Birla Fashion and Retail Limited,10
ABGSHIP,ABG Shipyard Limited,10
ABMINTLTD,ABM International Limited,10
ACC,ACC Limited,10
ACCELYA,Accelya Kale Solutions Limited,10
ACE,Action Construction Equipment Limited,2
ADANIENT,Adani Enterprises Limited,1
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2
ADANIPOWER,Adani Power Limited,10
ADANITRANS,Adani Transmission Limited,10
ADFFOODS,ADF Foods Limited,10
ADHUNIK,Adhunik Metaliks Limited,10
ADHUNIKIND,Adhunik Industries Limited,10
ADLABS,Adlabs Entertainment Limited,10
ADORWELD,Ador Welding Limited,10
ADSL,Allied Digital Services Limited,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,2
ADVENZYMES,Advanced Enzyme Technologies Limited,2
AEGISCHEM,Aegis Logistics Limited,1
AGARIND,Agarwal Industrial Corporation Limited,10
AGCNET,AGC Networks Limited,10
AGLSL,Artemis Global Life Sciences Limited,2
AGRITECH,Agri-Tech (India) Limited,10
AHLEAST,Asian Hotels (East) Limited,10
AHLUCONT,Ahluwalia Contracts (India) Limited,2
AHLWEST,Asian Hotels (West) Limited,10
AIAENG,AIA Engineering Limited,2
AICHAMP,AI Champdany Industries Limited,5
AIFL,Ashapura Intimates Fashion Limited,10
AJANTPHARM,Ajanta Pharma Limited,2
AJMERA,Ajmera Realty & Infra India Limited,10
AKSHARCHEM,AksharChem India Limited,10
AKSHOPTFBR,Aksh Optifibre Limited,5
AKZOINDIA,Akzo Nobel India Limited,10
ALANKIT,Alankit Limited,1
ALBERTDAVD,Albert David Limited,10
ALBK,Allahabad Bank,10
ALCHEM,Alchemist Limited,10
ALEMBICLTD,Alembic Limited,2
ALICON,Alicon Castalloy Limited,5
ALKALI,Alkali Metals Limited,10
ALKEM,Alkem Laboratories Limited,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,5
ALLCARGO,Allcargo Logistics Limited,2
ALLSEC,Allsec Technologies Limited,10
ALMONDZ,Almondz Global Securities Limited,6
ALOKTEXT,Alok Industries Limited,10
ALPA,Alpa Laboratories Limited,10
ALPHAGEO,Alphageo (India) Limited,10
ALPSINDUS,Alps Industries Limited,10
AMARAJABAT,Amara Raja Batteries Limited,1
AMBIKCO,Ambika Cotton Mills Limited,10
AMBUJACEM,Ambuja Cements Limited,2
AMDIND,AMD Industries Limited,10
AMRUTANJAN,Amrutanjan Health Care Limited,2
AMTEKAUTO,Amtek Auto Limited,2
ANANTRAJ,Anant Raj Limited,2
ANDHRABANK,Andhra Bank,10
ANDHRACEMT,Andhra Cements Limited,10
ANDHRSUGAR,The Andhra Sugars Limited,10
ANGIND,ANG Industries Limited,10
