,open,high,low,close,volume,Supertrend,Macd,Macd_h,Macd_s,BB_l,BB_m,BB_u,sRSI_k,sRSI_d,action,BP,SP,PNL
2023-07-05 09:15:00+05:30,45430.0,45476.2,45365.65,45431.85,3840.0,0.0,,,,,,,,,,,,
2023-07-05 09:20:00+05:30,45431.85,45559.85,45431.85,45536.0,2340.0,,,,,,,,,,,,,
2023-07-05 09:25:00+05:30,45530.0,45565.0,45502.1,45543.85,1995.0,,,,,,,,,,,,,
2023-07-05 09:30:00+05:30,45543.85,45628.9,45543.0,45570.05,3855.0,,,,,,,,,,,,,
2023-07-05 09:35:00+05:30,45570.05,45579.8,45480.0,45480.7,1965.0,,,,,,,,,,,,,
2023-07-05 09:40:00+05:30,45480.0,45493.9,45441.0,45485.95,2115.0,,,,,,,,,,,,,
2023-07-05 09:45:00+05:30,45485.95,45485.95,45425.0,45425.0,1560.0,,,,,,,,,,,,,
2023-07-05 09:50:00+05:30,45425.0,45450.0,45414.0,45450.0,2370.0,45206.37857142857,,,,,,,,,,,,
2023-07-05 09:55:00+05:30,45450.0,45507.25,45410.0,45427.85,2160.0,45223.55663265306,,,,,,,,,,,,
2023-07-05 10:00:00+05:30,45427.85,45470.45,45427.85,45455.3,645.0,45229.40568513119,,,,,,,,,,,,
2023-07-05 10:05:00+05:30,45455.3,45457.9,45428.65,45450.0,675.0,45242.38701582674,,,,,,,,,,,,
2023-07-05 10:10:00+05:30,45450.0,45475.0,45450.0,45470.0,495.0,45279.59601356577,,,,,,,,,,,,
2023-07-05 10:15:00+05:30,45470.0,45472.05,45453.9,45454.0,795.0,45298.421583056384,,,,,,,,,,,,
2023-07-05 10:20:00+05:30,45454.0,45454.0,45432.0,45432.0,120.0,45298.421583056384,,,,,,,,,,,,
2023-07-05 10:25:00+05:30,45432.0,45450.0,45425.0,45439.85,525.0,45298.421583056384,,,,,,,,,,,,
2023-07-05 10:30:00+05:30,45439.85,45439.85,45392.2,45399.45,915.0,45298.421583056384,,,,,,,,,,,,
2023-07-05 10:35:00+05:30,45399.45,45427.3,45386.15,45411.05,405.0,45298.421583056384,,,,,,,,,,,,
2023-07-05 10:40:00+05:30,45411.05,45423.45,45394.65,45420.1,360.0,45298.421583056384,,,,,,,,,,,,
2023-07-05 10:45:00+05:30,45420.1,45465.0,45420.1,45465.0,945.0,45311.50813036302,,,,,,,,,,,,
2023-07-05 10:50:00+05:30,45465.0,45465.0,45425.15,45425.15,270.0,45315.67482602544,,,,45369.8016995405,45458.6575,45547.513300459505,,,,,,
2023-07-05 10:55:00+05:30,45425.15,45433.9,45400.0,45414.0,195.0,45315.67482602544,,,,45367.502620793224,45457.765,45548.027379206775,,,,,,
2023-07-05 11:00:00+05:30,45414.0,45420.3,45389.5,45389.5,900.0,45315.67482602544,,,,45363.02973973636,45450.44,45537.85026026364,,,,,,
2023-07-05 11:05:00+05:30,45389.5,45436.15,45389.5,45431.0,420.0,45315.67482602544,,,,45368.35340622304,45444.7975,45521.24159377696,,,,,,
2023-07-05 11:10:00+05:30,45431.0,45442.3,45420.0,45420.0,105.0,45315.761984393575,,,,45386.26662652633,45437.295,45488.323373473664,,,,,,
2023-07-05 11:15:00+05:30,45420.0,45425.0,45420.0,45425.0,30.0,45321.45312948021,,,,45387.32626764649,45434.51,45481.69373235352,,,,,,
2023-07-05 11:20:00+05:30,45425.0,45425.0,45392.0,45392.0,240.0,45321.45312948021,,,,45385.42507078133,45429.81250000001,45474.19992921868,,,,,,
2023-07-05 11:25:00+05:30,45392.0,45428.1,45391.05,45428.1,165.0,45321.45312948021,,,,45385.626748168455,45429.967500000006,45474.30825183156,,,,,,
2023-07-05 11:30:00+05:30,45428.1,45465.0,45428.1,45454.45,420.0,45343.10182497879,,,,45385.40693847871,45430.19,45474.9730615213,,,,,,
2023-07-05 11:35:00+05:30,45454.45,45483.1,45448.1,45466.05,720.0,45361.9301356961,,,,45384.697225842196,45432.100000000006,45479.502774157816,,,,,,
2023-07-05 11:40:00+05:30,45466.05,45477.5,45460.0,45460.0,240.0,45372.39011631095,,,,45384.43055241243,45432.33500000001,45480.239447587584,95.22210168139709,,,,,
2023-07-05 11:45:00+05:30,45460.0,45469.0,45420.05,45420.05,315.0,45372.39011631095,,,,45383.364982966414,45430.83750000001,45478.310017033604,74.51889133357409,,,,,
2023-07-05 11:50:00+05:30,45420.05,45420.05,45419.9,45419.95,60.0,45372.39011631095,,,,45384.22653028844,45428.33500000001,45472.44346971157,52.0872229331654,73.94273864937887,,,,
2023-07-05 11:55:00+05:30,45419.95,45450.0,45419.95,45449.0,135.0,45372.39011631095,,,,45384.50774560769,45428.08500000001,45471.66225439232,46.86915185487712,57.825088707205545,,,,
2023-07-05 12:00:00+05:30,45449.0,45475.0,45449.0,45450.3,1095.0,45374.547476359425,-8.926076366980851,7.874481608635204,-16.800557975616055,45384.37641880144,45429.00000000001,45473.623581198575,61.56145755294159,53.50594411366138,BUY,45450.3,,
2023-07-05 12:05:00+05:30,45450.3,45508.65,45442.0,45457.9,1185.0,45374.547476359425,-6.583503954861953,8.173643216603281,-14.757147171465235,45383.73429153053,45429.90250000001,45476.070708469495,80.09685692278809,62.84248877686895,BUY,,,
2023-07-05 12:10:00+05:30,45457.9,45475.95,45448.9,45448.9,930.0,45374.547476359425,-5.391078230779385,7.49285515254868,-12.883933383328065,45387.72345470656,45432.375000000015,45477.02654529347,78.71175262983498,73.45668903518823,BUY,,,
2023-07-05 12:15:00+05:30,45448.9,45465.85,45438.25,45465.35,285.0,45374.547476359425,-3.083154051164456,7.8406234657308875,-10.923777516895344,45389.36479252559,45435.09000000001,45480.815207474436,85.88958935822755,81.56606630361689,BUY,,,
2023-07-05 12:20:00+05:30,45465.35,45479.95,45444.8,45479.95,75.0,45374.547476359425,-0.0751433229597751,8.678907355148455,-8.75405067810823,45388.96510720213,45438.082500000004,45487.19989279788,89.78585838878973,84.79573345895078,BUY,,,
2023-07-05 12:25:00+05:30,45479.95,45480.0,45464.1,45464.1,90.0,45380.453175829774,1.018029108796327,7.817663829523646,-6.799634720727319,45389.0172809627,45438.037500000006,45487.057719037315,90.37964518190836,88.68503097630857,BUY,,,
2023-07-05 12:30:00+05:30,45464.1,45464.1,45420.0,45420.0,120.0,45380.453175829774,-1.6550469530338887,4.115670214154744,-5.770717167188633,45388.43864413213,45437.780000000006,45487.12135586788,57.561496537174584,79.2423333692909,BUY,,,
2023-07-05 12:35:00+05:30,45420.0,45442.1,45420.0,45436.15,60.0,45380.453175829774,-2.4421572926075896,2.6628478996648344,-5.105005192272424,45390.75126753272,45438.887500000004,45487.023732467285,32.92876121767484,60.28996764558594,BUY,,,
2023-07-05 12:40:00+05:30,45436.15,45461.1,45436.15,45461.1,30.0,45380.453175829774,-1.0406949399402947,3.2514482018657036,-4.292143141805998,45399.14677431213,45442.467500000006,45485.78822568788,29.960300402585485,40.15018605247832,BUY,,,
2023-07-05 12:45:00+05:30,45461.1,45461.1,45424.05,45424.05,210.0,45380.453175829774,-2.886378909330233,1.1246113859806126,-4.010990295310846,45398.32796422513,45442.12000000001,45485.91203577489,32.53434950259267,31.80780370761768,BUY,,,
2023-07-05 12:50:00+05:30,45424.05,45460.6,45424.05,45460.0,75.0,45380.453175829774,-1.4317281285475474,2.0634097334106385,-3.495137861958186,45400.90168909789,45444.12000000001,45487.33831090213,43.594286478807895,35.362978794662034,BUY,,,
2023-07-05 12:55:00+05:30,45460.0,45460.0,45408.65,45418.65,360.0,45380.453175829774,-3.57430397690041,-0.06333289195377922,-3.5109710849466307,45399.93852304497,45443.802500000005,45487.66647695504,23.276916330047673,33.135184103816094,,,,
2023-07-05 13:00:00+05:30,45418.65,45437.1,45411.25,45413.15,285.0,45380.453175829774,-5.650973898234952,-1.7120022506306567,-3.938971647604295,45405.22679928559,45444.86000000001,45484.49320071442,20.702867230040493,29.191356679632033,SELL,,45413.15,-557.2500000000218
2023-07-05 13:05:00+05:30,45413.15,45441.95,45413.15,45434.1,120.0,45380.453175829774,-5.542370857707283,-1.2827193680823905,-4.2596514896248925,45405.95022319451,45445.16000000001,45484.36977680551,10.923491231408201,18.301091597165467,SELL,,,
2023-07-05 13:10:00+05:30,45434.1,45454.0,45429.1,45454.0,405.0,45380.453175829774,-3.8066576965211425,0.3623950344829998,-4.169052731004142,45405.94856186728,45445.13750000001,45484.326438132746,28.928313865298218,20.184890775582314,,,,
2023-07-05 13:15:00+05:30,45454.0,45460.0,45440.05,45440.05,195.0,45380.453175829774,-3.516208265995374,0.5222755720070147,-4.038483838002389,45405.80168958814,45443.83750000001,45481.87331041188,41.17310426393297,27.008303120213142,,,,
2023-07-05 13:20:00+05:30,45440.05,45440.05,45421.4,45421.4,480.0,45380.453175829774,-4.736326709135028,-0.5582742969061112,-4.178052412228917,45403.4332713321,45441.907500000016,45480.38172866793,34.77053903679153,34.95731905534092,,,,
2023-07-05 13:25:00+05:30,45421.4,45442.45,45410.0,45410.0,195.0,45380.453175829774,-6.547686438556411,-1.8957072210619952,-4.651979217494416,45401.563766379455,45441.40500000001,45481.24623362057,15.823384162909848,30.589009154544794,SELL,,,
2023-07-05 13:30:00+05:30,45410.0,45425.75,45361.1,45367.9,1845.0,45495.52958813427,-11.250629970854789,-5.278920602688298,-5.971709368166491,45388.31720044204,45438.80250000001,45489.287799557984,3.578593764275093,18.057505654658833,SELL,,,
2023-07-05 13:35:00+05:30,45360.0,45375.95,45331.0,45353.55,1500.0,45460.257504115085,-15.951789376835222,-7.984064006934985,-7.967725369900237,45371.65646076332,45434.03000000001,45496.40353923671,1.1250259982868252e-14,6.4673259757283255,SELL,,,
2023-07-05 13:40:00+05:30,45353.55,45404.0,45353.55,45404.0,675.0,45460.257504115085,-15.428745727651403,-5.9688162862009335,-9.45992944145047,45368.497604479075,45431.71500000001,45494.93239552095,19.446554901152496,7.67504955514254,SELL,,,
2023-07-05 13:45:00+05:30,45404.0,45404.0,45383.0,45389.9,435.0,45460.257504115085,-15.967913857464737,-5.206387532811414,-10.761526324653323,45363.795490589204,45428.31500000002,45492.83450941083,34.691278110286966,18.045944337146498,SELL,,,
2023-07-05 13:50:00+05:30,45389.9,45443.6,45376.15,45443.6,225.0,45460.257504115085,-11.924607818342338,-0.9304651949512124,-10.994142623391125,45363.82801002082,45428.05000000001,45492.2719899792,68.0246114436203,40.72081481835326,,,,
2023-07-05 13:55:00+05:30,45443.6,45449.1,45405.0,45449.1,420.0,45460.257504115085,-8.18213604617631,2.249605261771851,-10.431741307948162,45364.53035629912,45427.23750000001,45489.9446437009,81.91138987580115,61.54242647656948,BUY,45449.1,,-1096.4999999999782
2023-07-05 14:00:00+05:30,45449.1,45450.0,45420.1,45426.85,420.0,45460.257504115085,-6.931685101641051,2.8000449650456893,-9.73173006668674,45366.71801805142,45424.58250000001,45482.446981948604,92.72902178507577,80.88834103483242,BUY,,,
2023-07-05 14:05:00+05:30,45426.85,45426.85,45397.95,45408.75,555.0,45460.257504115085,-7.316868149639049,1.9318895336381523,-9.248757683277201,45366.53870223799,45421.81500000002,45477.09129776205,79.83300494149923,84.82447220079206,BUY,,,
