Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-08-29,20MICRONS,EQ,34.25,34.4,36.7,34.25,36.0,35.65,35.85,108362,388527190000.0,795,66335,0.6122
2017-08-30,20MICRONS,EQ,35.65,36.2,37.05,35.7,37.05,36.8,36.49,64096,233900295000.00003,308,48528,0.7571
2017-08-31,20MICRONS,EQ,36.8,36.85,37.7,36.0,37.3,37.45,37.0,31422,116264400000.0,294,20044,0.6379
2017-09-01,20MICRONS,EQ,37.45,37.8,39.75,37.4,39.1,39.15,38.91,73499,285961055000.0,505,63555,0.8647
2017-09-04,20MICRONS,EQ,39.15,39.85,40.8,38.8,40.0,39.75,39.87,122248,487404584999.99994,777,75383,0.6165999999999999
2017-09-05,20MICRONS,EQ,39.75,39.75,40.5,37.95,38.45,38.75,39.03,101846,397548425000.0,718,66107,0.6491
2017-09-06,20MICRONS,EQ,38.75,38.0,39.0,37.6,38.8,38.5,38.41,30659,117764220000.0,211,26961,0.8794
2017-09-07,20MICRONS,EQ,38.5,39.0,39.6,38.1,38.1,38.25,38.51,38035,146456150000.0,219,24804,0.6520999999999999
2017-09-08,20MICRONS,EQ,38.25,37.85,38.8,37.5,37.6,37.75,38.03,23551,89561260000.0,229,15055,0.6393
2017-09-11,20MICRONS,EQ,37.75,37.8,38.3,37.1,38.3,38.05,37.71,55965,211022390000.0,247,46880,0.8377
2017-09-12,20MICRONS,EQ,38.05,38.3,39.4,38.3,38.45,38.5,38.83,29735,115447510000.00002,236,16934,0.5695
2017-09-13,20MICRONS,EQ,38.5,38.65,38.8,37.4,37.6,37.55,37.99,24758,94054320000.0,269,16712,0.675
2017-09-14,20MICRONS,EQ,37.55,38.1,38.1,37.1,37.65,37.3,37.55,21125,79323405000.0,228,13390,0.6338
2017-09-15,20MICRONS,EQ,37.3,38.2,39.3,37.7,38.7,38.65,38.73,88564,343042415000.0,669,54755,0.6183
2017-09-18,20MICRONS,EQ,38.65,38.65,40.5,38.1,39.8,39.9,39.74,94583,375919940000.0,696,59319,0.6272
2017-09-19,20MICRONS,EQ,39.9,40.35,43.65,39.4,41.95,41.5,41.91,295617,1238964125000.0,1701,134626,0.4554
2017-09-20,20MICRONS,EQ,41.5,42.0,43.55,41.5,41.6,41.8,42.61,153040,652047895000.0,1032,84054,0.5492
2017-09-21,20MICRONS,EQ,41.8,42.4,44.9,39.75,43.0,42.8,42.86,192727,826052125000.0,1583,82572,0.42840000000000006
2017-09-22,20MICRONS,EQ,42.8,42.0,42.25,39.4,40.75,40.1,40.9,115586,472706959999.99994,739,82308,0.7121
2017-09-25,20MICRONS,EQ,40.1,40.35,40.35,38.2,38.65,38.75,38.77,77080,298841265000.0,466,44440,0.5765
2017-09-26,20MICRONS,EQ,38.75,39.0,39.7,38.1,38.85,38.75,38.95,63596,247696354999.99997,381,37862,0.5954
2017-09-27,20MICRONS,EQ,38.75,38.25,39.8,37.1,37.4,37.25,38.16,91841,350475050000.0,664,63284,0.6890999999999999
2017-09-28,20MICRONS,EQ,37.25,36.6,38.45,36.6,37.15,37.45,37.52,60916,228575770000.00003,363,42718,0.7012999999999999
