symbol,stock_name,industry,sub_industry,benchmark
20MICRONS,20 Microns Limited,,,
21STCENMGM,,,,
3IINFOTECH,3i Infotech Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
3MINDIA,3M India Limited,SERVICES,DIVERSIFIED,
3PLAND,,,,
5PAISA,,,,
63MOONS,63 moons technologies limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
8KMILES,8K Miles Software Services Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
A2ZINFRA,A2Z Infra Engineering Limited,INDUSTRIAL MANUFACTURING,,
AARTIDRUGS,Aarti Drugs Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
AARTIIND,Aarti Industries Limited,CHEMICALS,CHEMICALS,
AARVEEDEN,Aarvee Denims & Exports Limited,TEXTILES,TEXTILES - DENIM,
ABAN,Aban Offshore Limited,ENERGY,OIL DRILLING AND EXPLORATION,NIFTY ENERGY
ABB,ABB India Limited,INDUSTRIAL MANUFACTURING,INFRASTRUCTURE - GENERAL,
ABBOTINDIA,Abbott India Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
ABCAPITAL,Aditya Birla Capital Limited,FINANCIAL SERVICES,FINANCE - INVESTMENTS,NIFTY BANK
ABFRL,Aditya Birla Fashion and Retail Limited,CONSUMER GOODS,RETAIL,NIFTY FMCG
ABGSHIP,ABG Shipyard Limited,INDUSTRIAL MANUFACTURING,SHIPPING,
ACC,ACC Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
ACCELYA,Accelya Kale Solutions Limited,,,
ACCURACY,,,,
ACE,Action Construction Equipment Limited,INDUSTRIAL MANUFACTURING,,
ADANIENT,Adani Enterprises Limited,SERVICES,TRADING,
ADANIGREEN,,,,
ADANIPORTS,Adani Ports and Special Economic Zone Limited,SERVICES,INFRASTRUCTURE - GENERAL,
ADANIPOWER,Adani Power Limited,ENERGY,POWER - GENERATION & DISTRIBUTION,NIFTY ENERGY
ADANITRANS,Adani Transmission Limited,ENERGY,POWER - TRANSMISSION & EQUIPMENT,NIFTY ENERGY
ADFFOODS,ADF Foods Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
ADHUNIK,Adhunik Metaliks Limited,METALS,,NIFTY METAL
ADHUNIKIND,Adhunik Industries Limited,,,
ADLABS,Adlabs Entertainment Limited,MEDIA & ENTERTAINMENT,MEDIA & ENTERTAINMENT,
ADORWELD,Ador Welding Limited,,,
ADROITINFO,,,,
ADSL,Allied Digital Services Limited,,,
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,SERVICES,HOTELS,
ADVENZYMES,Advanced Enzyme Technologies Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
AEGISCHEM,Aegis Logistics Limited,ENERGY,TRANSPORT & LOGISTICS,NIFTY ENERGY
AFL,,,,
AGARIND,Agarwal Industrial Corporation Limited,,,
AGCNET,AGC Networks Limited,,,
AGLSL,Artemis Global Life Sciences Limited,,,
AGRITECH,Agri-Tech (India) Limited,,,
AGROPHOS,,,,
AHLEAST,Asian Hotels (East) Limited,SERVICES,HOTELS,
AHLUCONT,Ahluwalia Contracts (India) Limited,,,
AHLWEST,Asian Hotels (West) Limited,SERVICES,HOTELS,
AIAENG,AIA Engineering Limited,INDUSTRIAL MANUFACTURING,CASTINGS & FORGINGS,
AICHAMP,AI Champdany Industries Limited,,,
AIFL,Ashapura Intimates Fashion Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
AIRAN,,,,
AIROLAM,,,,
AISL,,,,
AJANTPHARM,Ajanta Pharma Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
AJMERA,Ajmera Realty & Infra India Limited,CONSTRUCTION,,NIFTY INFRA
AJOONI,,,,
AKSHARCHEM,AksharChem India Limited,,,
AKSHOPTFBR,Aksh Optifibre Limited,,,
AKZOINDIA,Akzo Nobel India Limited,CONSUMER GOODS,PAINTS & VARNISHES,NIFTY CONSUMPTION
ALANKIT,Alankit Limited,,,
ALBERTDAVD,Albert David Limited,,,
ALBK,Allahabad Bank,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
ALCHEM,Alchemist Limited,CHEMICALS,CHEMICALS,
ALEMBICLTD,Alembic Limited,,,
ALICON,Alicon Castalloy Limited,,,
ALKALI,Alkali Metals Limited,METALS,,NIFTY METAL
ALKEM,Alkem Laboratories Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
ALKYLAMINE,Alkyl Amines Chemicals Limited,CHEMICALS,CHEMICALS,
ALLCARGO,Allcargo Logistics Limited,SERVICES,TRANSPORT & LOGISTICS,
ALLSEC,Allsec Technologies Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
ALMONDZ,Almondz Global Securities Limited,,,
ALOKTEXT,Alok Industries Limited,,,
ALPA,Alpa Laboratories Limited,,,
ALPHAGEO,Alphageo (India) Limited,,,
ALPSINDUS,Alps Industries Limited,,,
AMARAJABAT,Amara Raja Batteries Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
AMBANIORG,,,,
AMBER,,,,
AMBIKCO,Ambika Cotton Mills Limited,TEXTILES,TEXTILES - SPINNING - COTTON BLENDED,
AMBUJACEM,Ambuja Cements Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
AMDIND,AMD Industries Limited,,,
AMJLAND,,,,
AMJUMBO,,,,
AMRUTANJAN,Amrutanjan Health Care Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
AMTEKAUTO,Amtek Auto Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
ANANTRAJ,Anant Raj Limited,,,
ANDHRABANK,Andhra Bank,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
ANDHRACEMT,Andhra Cements Limited,,,
ANDHRSUGAR,The Andhra Sugars Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
ANGIND,ANG Industries Limited,,,
ANIKINDS,Anik Industries Limited,,,
ANKITMETAL,,,,
ANSALAPI,Ansal Properties & Infrastructure Limited,CONSTRUCTION,,NIFTY INFRA
ANSALHSG,Ansal Housing and Construction Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
ANTGRAPHIC,Antarctica Limited,,,
APARINDS,Apar Industries Limited,INDUSTRIAL MANUFACTURING,ELECTRIC EQUIPMENT,
APCL,Anjani Portland Cement Limited,,,
APCOTEXIND,Apcotex Industries Limited,,,
APEX,Apex Frozen Foods Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
APLAPOLLO,APL Apollo Tubes Limited,METALS,STEEL - TUBES & PIPES,NIFTY METAL
APLLTD,Alembic Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
APOLLO,,,,
APOLLOHOSP,Apollo Hospitals Enterprise Limited,HEALTHCARE SERVICES,HOSPITALS & MEDICAL SERVICES,NIFTY HEALTHCARE
APOLLOTYRE,Apollo Tyres Limited,AUTOMOBILE,TYRES,NIFTY AUTO
APOLSINHOT,Apollo Sindoori Hotels Limited,SERVICES,HOTELS,
APTECHT,Aptech Limited,,,
ARCHIDPLY,Archidply Industries Limited,,,
ARCHIES,Archies Limited,,,
ARCOTECH,Arcotech Limited,,,
ARIES,Aries Agro Limited,,,
ARIHANT,Arihant Foundations & Housing Limited,,,
ARIHANTSUP,Arihant Superstructures Limited,,,
ARMANFIN,Arman Financial Services Limited,,,
AROGRANITE,Aro Granite Industries Limited,,,
ARROWGREEN,Arrow Greentech Limited,,,
ARROWTEX,Arrow Textiles Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
ARSHIYA,Arshiya Limited,,,
ARSSINFRA,ARSS Infrastructure Projects Limited,CONSTRUCTION,,NIFTY INFRA
ARTNIRMAN,,,,
ARVIND,Arvind Limited,TEXTILES,TEXTILES - DENIM,
ARVSMART,Arvind SmartSpaces Limited,,,
