tradingsymbol,instrument_token
HANGSENG BEES-NAV,264713
INDIA VIX,264969
NIFTY 100,260617
NIFTY 200,264457
NIFTY 50,256265
NIFTY 500,268041
NIFTY ALPHA 50,265993
NIFTY ALPHALOWVOL,273673
NIFTY AUTO,263433
NIFTY BANK,260105
NIFTY COMMODITIES,257289
NIFTY CONSR DURBL,288777
NIFTY CONSUMPTION,257545
NIFTY CPSE,268297
NIFTY DIV OPPS 50,257033
NIFTY ENERGY,261641
NIFTY FIN SERVICE,257801
NIFTY FINSRV25 50,288265
NIFTY FMCG,261897
NIFTY GROWSECT 15,270345
NIFTY GS 10YR,269065
NIFTY GS 10YR CLN,269321
NIFTY GS 11 15YR,269577
NIFTY GS 15YRPLUS,269833
NIFTY GS 4 8YR,268553
NIFTY GS 8 13YR,268809
NIFTY GS COMPSITE,270089
NIFTY HEALTHCARE,288521
NIFTY IND DIGITAL,291337
NIFTY INDIA MFG,291081
NIFTY INFRA,261385
NIFTY IT,259849
NIFTY LARGEMID250,289545
NIFTY M150 QLTY50,290825
NIFTY MEDIA,263945
NIFTY METAL,263689
NIFTY MICROCAP250,290569
NIFTY MID LIQ 15,270601
NIFTY MID SELECT,288009
NIFTY MIDCAP 100,256777
NIFTY MIDCAP 150,266249
NIFTY MIDCAP 50,260873
NIFTY MIDSML 400,266505
NIFTY MNC,262153
NIFTY NEXT 50,270857
NIFTY OIL AND GAS,289033
NIFTY PHARMA,262409
NIFTY PSE,262665
NIFTY PSU BANK,262921
NIFTY PVT BANK,271113
NIFTY REALTY,261129
NIFTY SERV SECTOR,263177
NIFTY SMLCAP 100,267017
NIFTY SMLCAP 250,267273
NIFTY SMLCAP 50,266761
NIFTY TOTAL MKT,290313
NIFTY100 EQL WGT,271881
NIFTY100 ESG,291593
NIFTY100 LIQ 15,267785
NIFTY100 LOWVOL30,272137
NIFTY100 QUALTY30,272393
NIFTY100ESGSECLDR,289801
NIFTY200 QUALTY30,265737
NIFTY200MOMENTM30,290057
NIFTY50 DIV POINT,265225
NIFTY50 EQL WGT,271625
NIFTY50 PR 1X INV,259081
NIFTY50 PR 2X LEV,258825
NIFTY50 TR 1X INV,259593
NIFTY50 TR 2X LEV,259337
NIFTY50 VALUE 20,267529
NIFTY500 MULTICAP,289289
1018GS2026-GS,1749249
182D010224-TB,4526593
182D021123-TB,3926529
182D040124-TB,4385025
182D051023-TB,3831809
182D070324-TB,4714241
182D071223-TB,4269313
182D080224-TB,4571393
182D091123-TB,4019457
182D110124-TB,4419585
182D121023-TB,3846145
182D140923-TB,3729665
182D141223-TB,4312577
182D160224-TB,4636417
182D161123-TB,4044289
182D180124-TB,4436737
182D191023-TB,3869697
182D211223-TB,4336897
182D220224-TB,4666113
182D220923-TB,3755009
182D231123-TB,4123905
182D250124-TB,4472065
182D261023-TB,3909633
182D290224-TB,4694785
182D290923-TB,3810561
182D291223-TB,4354049
182D301123-TB,4199425
20MICRONS-BE,4332801
21STCENMGM,1025
360ONE,3343617
364D010224-TB,3585025
364D010824-TB,4526849
364D020524-TB,3926785
364D021123-TB,3014657
364D040124-TB,3489281
364D040424-TB,3832065
364D040724-TB,4385537
364D050924-TB,4714497
364D051023-TB,2925825
364D060624-TB,4270337
364D070324-TB,3701249
364D071223-TB,3342337
364D080224-TB,3618817
364D080824-TB,4571649
364D090524-TB,4020481
364D091123-TB,3044865
364D110124-TB,3514369
364D110424-TB,3848961
364D110724-TB,4419841
364D121023-TB,2948865
364D130624-TB,4312833
364D140324-TB,3730689
364D140923-TB,2804225
364D141223-TB,3363329
364D150224-TB,3627777
364D160524-TB,4044545
364D160824-TB,4636673
364D161123-TB,3069697
364D180124-TB,3530753
364D180424-TB,3870721
364D180724-TB,4436993
364D191023-TB,2972417
364D200624-TB,4337153
364D210923-TB,2831105
364D211223-TB,3395073
364D220224-TB,3656961
364D220324-TB,3755265
364D220824-TB,4666369
364D230524-TB,4127745
364D231123-TB,3166721
364D250424-TB,3909889
364D250724-TB,4472321
364D260124-TB,3567361
364D271023-TB,2998017
364D280624-TB,4354305
364D280923-TB,2893569
364D281223-TB,3432193
364D290224-TB,3682305
364D290324-TB,3810817
364D290824-TB,4695041
364D300524-TB,4201473
364D301123-TB,3260929
3IINFOLTD,1595393
3MINDIA,121345
3PLAND,664321
3RDROCK-IT,1438977
448GS2023-GS,242433
456GS2023-GS,1782273
45AS23-SG,273665
469ML23-SG,1504257
473KA23-SG,1788417
474KA23-SG,1724417
47KA23-SG,1761793
495ML24-SG,1421825
497AS24-SG,1413889
503KL24-SG,5611009
505RJ24-SG,5701121
512BR24-SG,274177
515GS2025-GS,269825
518KL24-SG,528129
522GS2025-GS,4857857
524AS24-SG,192513
525AS24-SG,1678081
527BR24-SG,193281
527GJ24-SG,2013185
528BR23-SG,38913
532AS25-SG,309761
532AS26-SG,466177
532CG25-SG,309505
532RJ25-SG,435201
535CG25-SG,248577
535RJ25-SG,387329
538CG25-SG,213761
538RJ24-SG,5643521
539GJ24-SG,779009
539RJ24-SG,5718785
539RJ25-SG,514817
53BR25-SG,308993
53RJ23-SG,72449
540CG24-SG,5716737
541AP24-SG,5717505
541GA25-SG,434433
542RJ24-SG,681473
543BR24-SG,779777
544AP24-SG,5308417
544KL24-SG,5606401
545AP24-SG,5191937
545RJ25-SG,5637633
546PY25-SG,515073
546TN24-SG,5659905
547AS24-SG,648449
547RJ24-SG,5645057
549RJ25-SG,5708801
54BR24-SG,150273
54KL24-SG,696833
552AP24-SG,5746177
552MP24-SG,649217
553KL25-SG,5610753
563GS2026-GS,819713
565KL24-SG,5608193
565RJ25-SG,5645313
565TN25-SG,1167873
568MH24-SG,39681
56HR24-SG,5542145
56MH24-SG,3073
56RJ24-SG,106497
572BR26-SG,482817
574GS2026-GS,1713921
575AP24-SG,72961
575KA25-SG,5613569
575PY26-SG,214017
575RJ25-SG,5646081
575TN25-SG,5658881
576TN24-SG,5661953
577GJ25-SG,1999105
577GJ25A-SG,2050049
577GS2030-GS,5706753
577KL25-SG,5606913
579GS2030-GS,4827393
579KL24-SG,73729
57BR24-SG,16129
57KA26-SG,5613313
57MH24-SG,20481
582BR26-SG,495617
582RJ27-SG,466945
582TS24-SG,5681409
585GS2030-GS,343297
588CG26-SG,435969
588GJ25-SG,780545
589AP25-SG,5298433
589RJ25-SG,5735425
58MH25-SG,2050305
58RJ25-SG,5643777
591KL25-SG,5609217
593CG26-SG,370945
593RJ25-SG,682241
594CG25-SG,108289
594RJ25-SG,817665
595TN25-SG,5662977
596PY26-SG,1505281
597CG27-SG,483073
597GS2025-GS,1758977
599MP26-SG,1414401
59TS25-SG,5679105
5PAISA,113921
601GS2028-GS,1757697
601RJ26-SG,1534465
603RJ25-SG,5649665
604AS25-SG,107009
604AS26-SG,1801729
604GJ26-SG,1589505
604KL25-SG,5735169
605AS25-SG,15873
605RJ26-SG,1169921
607RJ26-SG,1788673
609AS26-SG,1613825
609KA28-SG,5614081
609RJ26-SG,544001
610GS2031-GS,1283073
612KA27-SG,5613825
613GS2028-GS,1758209
613RJ26-SG,900097
616RJ24-SG,5644033
617KL27-SG,437505
