date,isin_div_payout_isin_growth,isin_div_reinvestment,scheme_name,net_asset_value,repurchase_price,sale_price
16-Aug-17,INF846K01EW2,,Axis Long Term Equity Fund - Direct Plan - Growth Option,40.1679,,
16-Aug-17,INF846K01131,,Axis Long Term Equity Fund - Growth,38.0456,,
16-Aug-17,INF090I01IQ4,,Franklin India Smaller Companies Fund - Direct - Growth,57.3243,,
16-Aug-17,INF109K016L0,,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,39.18,,
16-Aug-17,INF209K01N82,,Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.1034,,
16-Aug-17,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.4987,,
16-Aug-17,INF209K01N82,,Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.1034,,
16-Aug-17,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.4987,,
17-Aug-17,INF846K01EW2,,Axis Long Term Equity Fund - Direct Plan - Growth Option,40.0426,,
17-Aug-17,INF846K01131,,Axis Long Term Equity Fund - Growth,37.9258,,
17-Aug-17,INF090I01IQ4,,Franklin India Smaller Companies Fund - Direct - Growth,57.3247,,
17-Aug-17,INF109K016L0,,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,39.11,,
21-Aug-17,INF846K01EW2,,Axis Long Term Equity Fund - Direct Plan - Growth Option,39.7426,,
21-Aug-17,INF846K01131,,Axis Long Term Equity Fund - Growth,37.6371,,
21-Aug-17,INF209K01VH8,,Birla Sun Life Advantage Fund - Growth - Direct Plan,427.41,,
21-Aug-17,INF209K01YY7,,Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,216.15,,
21-Aug-17,INF090I01IQ4,,Franklin India Smaller Companies Fund - Direct - Growth,56.6946,,
21-Aug-17,INF109K016L0,,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,38.5,,
21-Aug-17,INF917K01HD4,,L&T India Value Fund-Direct Plan-Growth Option,35.986,,
21-Aug-17,INF209K01N82,,Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.1507,,
21-Aug-17,INF209K01S38,,Birla Sun Life Short Term Fund - Growth - Direct Plan,64.7732,,
21-Aug-17,INF090I01HG7,,Franklin India Low Duration Fund - Direct - Growth,19.4237,,
21-Aug-17,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5197,,
21-Aug-17,INF209K01VA3,,Birla Sun Life Cash Plus - Growth - Direct Plan,268.1188,,
22-Aug-17,INF846K01EW2,,Axis Long Term Equity Fund - Direct Plan - Growth Option,39.7218,,
22-Aug-17,INF846K01131,,Axis Long Term Equity Fund - Growth,37.6162,,
22-Aug-17,INF209K01VH8,,Birla Sun Life Advantage Fund - Growth - Direct Plan,426.15,,
22-Aug-17,INF209K01YY7,,Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,215.94,,
22-Aug-17,INF090I01IQ4,,Franklin India Smaller Companies Fund - Direct - Growth,56.4993,,
22-Aug-17,INF109K016L0,,ICICI Prudential Focused Bluechip Equity Fund - Direct Plan -  Growth,38.56,,
22-Aug-17,INF917K01HD4,,L&T India Value Fund-Direct Plan-Growth Option,35.935,,
22-Aug-17,INF209K01N82,,Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,31.1182,,
22-Aug-17,INF209K01S38,,Birla Sun Life Short Term Fund - Growth - Direct Plan,64.7783,,
22-Aug-17,INF090I01HG7,,Franklin India Low Duration Fund - Direct - Growth,19.4278,,
22-Aug-17,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option,20.5098,,
22-Aug-17,INF209K01VA3,,Birla Sun Life Cash Plus - Growth - Direct Plan,268.166,,
23-Aug-17,INF846K01EW2,,Axis Long Term Equity Fund - Direct Plan - Growth Option,39.9841,,
23-Aug-17,INF846K01131,,Axis Long Term Equity Fund - Growth,37.8635,,
23-Aug-17,INF209K01VH8,,Aditya Birla Sun Life Advantage Fund - Growth - Direct Plan,430.24,,
