date,symbol,series,open,high,low,close,volume,turnover,close_adj,volume_adj
5-Apr-19,NIFTY 50,IN,11638.4,11689.65,11609.5,11665.95,266665797,1500035000,11665.95,266665797
9-Apr-19,NIFTY 50,IN,11612.05,11683.9,11569.7,11671.95,300467538,1598439000,11671.95,300467538
10-Apr-19,NIFTY 50,IN,11646.85,11680.05,11571.75,11584.3,359941110,2225846000,11584.3,359941110
11-Apr-19,NIFTY 50,IN,11592.55,11606.7,11550.55,11596.7,279775726,1433220000,11596.7,279775726
12-Apr-19,NIFTY 50,IN,11612.85,11657.35,11578.8,11643.45,246006184,1359861000,11643.45,246006184
15-Apr-19,NIFTY 50,IN,11667,11704.6,11648.25,11690.35,289996075,1563579000,11690.35,289996075
22-Apr-19,NIFTY 50,IN,11727.05,11727.05,11583.95,11594.45,260356055,1375412000,11594.45,260356055
23-Apr-19,NIFTY 50,IN,11612.95,11645.95,11564.8,11575.95,272544486,1450053000,11575.95,272544486
24-Apr-19,NIFTY 50,IN,11601.5,11740.85,11578.85,11726.15,335196513,1704666000,11726.15,335196513
25-Apr-19,NIFTY 50,IN,11735.7,11796.75,11624.3,11641.8,604360395,2825430000,11641.8,604360395
30-Apr-19,NIFTY 50,IN,11748.75,11756.25,11655.9,11748.15,532630874,2332498000,11748.15,532630874
