Product,Instrument,Qty.,Avg.,LTP,P&L,Chg.
NRML,BANKNIFTY23AUG43000CE,-45,3281.23,2732.3,24702,-16.73
NRML,BANKNIFTY23AUG43500CE,-30,2806.55,2276.65,15897,-18.88
NRML,BANKNIFTY23AUG44000CE,-30,2310,1857.45,13576.5,-19.59
NRML,BANKNIFTY23AUGFUT,270,46080.32,45696.05,-103752,-0.83
NRML,BANKNIFTY23SEP44500PE,-30,719.9,421.55,8950.5,-41.44
NRML,BANKNIFTY23SEP45000PE,-45,1001.67,556.8,20019,-44.41
NRML,BANKNIFTY23SEP45500PE,-30,980.13,739.85,7208.25,-24.51
NRML,NIFTY23AUG18700CE,-50,1123.3,1045,3915,-6.97
NRML,NIFTY23AUGFUT,350,19905.06,19738.15,-58417.5,-0.84
NRML,NIFTY23DEC18000PE,-100,164.4,110.75,5365,-32.63
NRML,NIFTY23DEC18500CE,-450,930.44,1780.7,-382615,91.38
NRML,NIFTY23DEC19000CE,-150,1022.17,1412.95,-58617.5,38.23
NRML,NIFTY23DEC19000PE,-700,357.81,254.15,72562.5,-28.97
NRML,NIFTY23DEC20000CE,-100,640.88,741.45,-10057.5,15.69
NRML,NIFTY23SEP19700PE,-50,245,295.55,-2527.5,20.63
