"symbol","close"
"VIVIMEDLAB","53.9"
"UNIONBANK","89.15"
"GAIL","375.55"
"RUBYMILLS","334.1"
"WALCHANNAG","143.1"
"PFOCUS","77.85"
"TVSELECT","370.1"
"PRECWIRE","237.9"
"GICHSGFIN","343.35"
"HINDUJAVEN","669.05"
"TIPSINDLTD","86.5"
"GESHIP","321.5"
"MEGH","93.8"
"GMBREW","695.25"
"GRAPHITE","1095.65"
"KPIT","294.35"
"KNRCON","231.05"
"SUPREMEINF","39.35"
"DOLPHINOFF","66.7"
"SUPREMEIND","1157.15"
"LAOPALA","268.05"
"VISASTEEL","15.05"
"AVTNPL","34.25"
"MCLEODRUSS","130.65"
"MALUPAPER","49.35"
"GMRINFRA","18.6"
"SHREERAMA","8.65"
"FINPIPE","596.65"
"KOLTEPATIL","287.1"
"MINDAIND","416.7"
"MANGTIMBER","24.45"
"DICIND","437.25"
"NCLIND","165.5"
"TALBROAUTO","289.6"
"THEMISMED","347.95"
"MANGALAM","107.6"
"AUROPHARMA","599.7"
"CENTEXT","5.95"
"RAMCOSYS","382.65"
"HDFC","1969.95"
"GANDHITUBE","387.55"
"VOLTAS","593.15"
"HINDCOMPOS","422.85"
"ANDHRSUGAR","388.4"
"JPASSOCIAT","14.2"
"SOMANYCERA","489.45"
"SYNDIBANK","42.5"
"SUPPETRO","279.95"
"EMCO","11.0"
"JAICORPLTD","165.95"
"BEL","121.2"
"COSMOFILMS","253.25"
"MUNJALAU","65.7"
"SONATSOFTW","322.25"
"COLPAL","1137.25"
"HINDUNILVR","1754.2"
"ESCORTS","878.75"
"BALAJITELE","116.6"
"MAHABANK","13.3"
"DLF","200.6"
"RAMANEWS","26.8"
"TTKPRESTIG","6220.3"
"BANARISUG","1486.4"
"APOLLOTYRE","271.3"
"NATCOPHARM","783.15"
"ADORWELD","351.15"
"TTL","84.15"
"JAIBALAJI","8.85"
"ALLCARGO","121.4"
"ELGIEQUIP","288.05"
"GRASIM","997.35"
"WILLAMAGOR","68.1"
"POCHIRAJU","2.7"
"BRITANNIA","6335.4"
"DYNAMATECH","1650.75"
"NFL","46.05"
"NIPPOBATRY","818.95"
"DISHTV","68.3"
"ATUL","3136.15"
"PEARLPOLY","21.6"
"RAJTV","38.2"
"IGL","303.3"
"UNIPLY","71.85"
"WIPRO","278.7"
"RELIANCE","1217.95"
"ASHOKLEY","129.25"
"MRPL","83.8"
"ULTRACEMCO","4310.8"
"TATAMOTORS","257.85"
"RSYSTEMS","37.0"
"MUNJALSHOW","220.0"
"PUNJABCHEM","684.2"
"EIDPARRY","229.35"
"INDLMETER","80.55"
"ARVIND","395.8"
"NOIDATOLL","9.75"
"VARDHACRLC","44.85"
"INDUSINDBK","1985.05"
"PRECOT","47.95"
"DENORA","331.3"
"APARINDS","587.5"
"BHARTIARTL","367.05"
"CONCOR","642.45"
"EKC","33.35"
"KOTHARIPRO","120.8"
"CTE","57.95"
"TTML","5.15"
"MANINDS","116.6"
"WEBELSOLAR","49.95"
"VTL","1196.75"
"PRIMESECU","38.35"
"BRIGADE","189.9"
"TATAMETALI","628.7"
"EDELWEISS","301.55"
"GAEL","213.7"
"ROHITFERRO","2.6"
"JSL","64.05"
"VSTIND","2886.85"
"BSL","60.65"
"OMAXE","222.85"
"SPARC","373.4"
"SIEMENS","1005.3"
"JKPAPER","159.9"
"GUFICBIO","119.3"
"INDOTECH","155.25"
"SRHHYPOLTD","137.4"
"MIRZAINT","100.2"
"SUPRAJIT","241.65"
"INOXLEISUR","234.0"
"MARICO","363.75"
"TVSSRICHAK","2930.7"
"INDIANCARD","140.1"
"ZODIACLOTH","155.7"
"ALEMBICLTD","44.3"
"BANKBARODA","154.75"
"JAYBARMARU","451.15"
"SPIC","30.1"
"UNITY","2.15"
"SINTEX","14.6"
"NETWORK18","44.3"
"QGOLDHALF","1309.0"
"JINDALSAW","81.95"
"MVL","0.25"
"HDIL","23.85"
"TAINWALCHM","89.35"
"PNBGILTS","27.95"
"EDL","18.65"
"NAHARINDUS","71.7"
"ASIANTILES","272.8"
"CANFINHOME","326.25"
"SIYSIL","539.2"
"HINDALCO","227.45"
"GMDCLTD","118.05"
"MARALOVER","31.8"
"ABAN","117.15"
"SUNTV","830.55"
"SICAGEN","31.6"
"VIJAYABANK","63.8"
"NITCO","73.5"
"INDBANK","14.25"
"INDOCO","198.2"
"JINDRILL","130.8"
"AMBIKCO","1247.4"
"SKMEGGPROD","76.8"
"LIBERTSHOE","206.15"
"RIIL","444.25"
"SUZLON","7.45"
"MAHSEAMLES","497.8"
"KCPSUGIND","20.35"
"TRENT","365.45"
"NUCLEUS","368.85"
"KANORICHEM","72.8"
"RANEHOLDIN","1994.55"
"HINDOILEXP","162.65"
"ABB","1200.3"
"JETAIRWAYS","301.75"
"ANIKINDS","34.1"
"ITDCEM","140.6"
"ICICILOVOL","89.52"
"ORIENTPPR","39.25"
"GTNIND","16.5"
"JAYSREETEA","81.7"
"BANG","56.15"
"EVEREADY","245.2"
"ALKYLAMINE","655.45"
"TECHM","646.2"
"BBTC","1565.85"
"TATASPONGE","890.35"
"FCSSOFT","0.2"
"SHRIRAMEPC","16.15"
"CERA","2937.75"
"ROLTA","36.95"
"MSPL","14.15"
"ALKALI","67.6"
"SUDARSCHEM","475.1"
"BFUTILITIE","326.2"
"INDIANHUME","288.05"
"PNC","16.4"
"PNB","83.4"
"3IINFOTECH","3.7"
"UNICHEMLAB","226.4"
"PAPERPROD","279.95"
"MANAKSIA","47.65"
"JINDALSTEL","216.95"
"SPENTEX","2.9"
"MIC","3.05"
"PGHH","10486.9"
"GRUH","336.5"
"ONMOBILE","41.3"
"HIMATSEIDE","307.1"
"HILTON","30.6"
"NOCIL","185.5"
"SANGHIIND","86.85"
"IGPL","510.15"
"BLKASHYAP","33.35"
"MMFL","614.35"
"GODFRYPHLP","840.55"
"SBIN","317.4"
"ACE","150.9"
"IMPAL","943.2"
"KOHINOOR","40.75"
"ASTRAMICRO","97.9"
"GODREJCP","1298.6"
"BALRAMCHIN","73.15"
"TATACOFFEE","112.5"
"INDORAMA","27.45"
"SAKSOFT","234.85"
"NESCO","510.55"
"BEPL","143.55"
"RENUKA","12.7"
"DONEAR","44.5"
"FEDERALBNK","89.55"
"CELEBRITY","12.9"
"ICRA","3657.35"
"ASAL","60.9"
"IDEA","56.35"
"BASF","2044.45"
"MADHAV","55.7"
"HIKAL","139.95"
"SAREGAMA","626.9"
"IDFC","49.4"
"DABUR","445.9"
"TATACHEM","674.6"
"DCMFINSERV","2.0"
"LUMAXIND","2134.4"
"KSBPUMPS","785.85"
"ECEIND","321.7"
"HOVS","211.65"
"KOTHARIPET","24.0"
"BLUEDART","3554.35"
"PATSPINLTD","13.2"
"GOKEX","86.6"
"STAR","423.85"
"OCL","1209.5"
"SANWARIA","14.8"
"INDRAMEDCO","44.85"
"ALPHAGEO","668.2"
"GLAXO","3294.8"
"ADSL","15.1"
"KSK","1.8"
"NELCAST","88.15"
"KPRMILL","614.85"
"PRICOLLTD","69.45"
"KALPATPOWR","367.5"
"NATNLSTEEL","15.95"
"JKLAKSHMI","328.05"
"MAGMA","150.9"
"GOLDSHARE","2651.6"
"GABRIEL","142.2"
"TATAELXSI","1388.5"
"REDINGTON","103.35"
"HCLTECH","956.65"
"KAUSHALYA","1.65"
"AFL","63.15"
"BEML","810.15"
"PHOENIXLTD","640.4"
"PETRONENGG","46.9"
"GANESHHOUC","104.9"
"HEXAWARE","462.75"
"FINCABLES","598.15"
"JBMA","366.4"
"ARIHANT","37.35"
"MAGNUM","8.2"
"NAHARSPING","95.2"
"SEAMECLTD","287.2"
"MANUGRAPH","34.7"
"JAYAGROGN","228.75"
"HITECHGEAR","432.0"
"BHARATGEAR","178.3"
"BIOCON","570.3"
"VENKEYS","3140.55"
"IFBAGRO","653.15"
"GAMMNINFRA","1.15"
"WOCKPHARMA","601.65"
"UNIENTER","80.0"
"TRIGYN","119.45"
"BSELINFRA","3.05"
"NTPC","160.7"
"ONWARDTEC","73.3"
"SURYAROSNI","355.85"
"TNPETRO","40.6"
"KABRAEXTRU","94.65"
"HCC","13.0"
"TINPLATE","185.1"
"JISLJALEQS","85.85"
"ESSELPACK","110.9"
"PARACABLES","14.3"
"BOSCHLTD","19085.0"
"ISMTLTD","7.3"
"IRB","199.6"
"GRANULES","107.15"
"MUKANDENGG","30.5"
"SESHAPAPER","1085.3"
"FDC","245.5"
"SANGHVIMOV","180.7"
"STARPAPER","218.9"
"VISAKAIND","598.2"
"M&MFIN","494.85"
"NIFTYBEES","1193.11"
"AXISBANK","621.05"
"UCALFUEL","212.7"
"APOLLOHOSP","963.55"
"KOPRAN","51.4"
"KOTAKPSUBK","335.44"
"ATLANTA","40.3"
"IPCALAB","750.85"
"AARTIDRUGS","555.2"
"RML","681.65"
"TRIL","22.4"
"BBL","1193.6"
"VISESHINFO","0.1"
