"symbol","ratio_date","download_date","asset_turnover_ratio","basic_eps","book_value_per_share_excl_reval","book_value_per_share_incl_reval","business_per_branch","business_per_employ","cash_earnings_retention_ratio","cash_eps","cost_to_income","current_ratio","diluted_eps","dividend_payout_ratio_np","dividend_payout_ratio_cp","dividend_per_share","earnings_retention_ratio","earnings_yield","enterprise_value","ev_to_net_sales","ev_to_ebitda","ev_to_net_operating_revenue","interest_expenses_to_total_assets","interest_income_per_branch","interest_income_per_employee","interest_income_to_total_assets","inventory_turnover_ratio","marketcap_to_net_operating_revenue","net_interest_margin","net_profit_margin","net_profit_per_branch","net_profit_per_employee","net_profit_per_share","non_interest_income_to_total_assets","operating_expenses_to_total_assets","operating_profit_margin","operating_profit_to_total_assets","operating_revenue_per_share","pbdit_margin","pbdit_per_share","pbit_margin","pbit_per_share","pbt_margin","pbt_per_share","price_to_book_value","price_to_sales","price_to_bv","price_to_net_operating_revenue","quick_ratio","retention_ratios","return_on_assets","return_on_capital_employed","return_on_equity","revenue_from_operations_per_share","debt_to_equity"
"BALMLAWRIE","2017-03-30","2018-07-22",""," 14.95"," 102.28"," 102.28","",""," 70.96"," 17.22",""," 2.15"," 14.95"," 33.44"," 29.04"," 7.00"," 66.56"," 0.06","",""," 7.65"," 1.28","","","",""," 11.25"," 1.57",""," 9.98","",""," 14.95","","","","",""," 16.67"," 24.95"," 15.15"," 22.69"," 14.89"," 22.29","",""," 2.30"," 1.57"," 1.89"," 66.55"," 9.50"," 13.94"," 14.61"," 149.68",""
"BALMLAWRIE","2016-03-30","2018-07-22",""," 14.42"," 373.65"," 373.65","",""," 72.77"," 66.09",""," 2.35"," 14.42"," 31.21"," 27.23"," 20.00"," 68.79"," 0.10","",""," 4.43"," 0.75","","","",""," 13.31"," 1.02",""," 10.30","",""," 57.67","","","","",""," 16.85"," 94.30"," 15.34"," 85.88"," 15.06"," 84.28","",""," 1.53"," 1.02"," 2.09"," 68.78"," 10.31"," 14.53"," 15.43"," 559.48",""
"BALMLAWRIE","2015-03-30","2018-07-22",""," 51.73"," 316.86"," 316.86","",""," 70.48"," 60.98",""," 1.91"," 51.73"," 34.79"," 29.52"," 18.00"," 65.21"," 0.09","",""," 5.17"," 0.46","","","",""," 21.06"," 0.59",""," 5.38","",""," 51.73","","","","",""," 8.82"," 84.86"," 7.86"," 75.62"," 7.67"," 73.84","",""," 1.78"," 0.59"," 1.65"," 65.20"," 10.17"," 15.60"," 16.32"," 961.51",""
"BALMLAWRIE","2014-03-30","2018-07-22",""," 54.97"," 287.59"," 287.59","",""," 70.90"," 61.84",""," 1.71"," 54.97"," 32.74"," 29.10"," 18.00"," 67.26"," 0.18","",""," 2.13"," 0.20","","","",""," 18.53"," 0.33",""," 5.96","",""," 54.97","","","","",""," 9.33"," 86.03"," 8.58"," 79.16"," 8.36"," 77.06","",""," 1.06"," 0.33"," 1.47"," 67.25"," 10.89"," 18.34"," 19.11"," 921.60",""
"BALRAMCHIN","2017-03-30","2018-07-22",""," 24.26"," 65.58"," 65.58","",""," 87.71"," 29.67",""," 1.16"," 24.26"," 14.47"," 12.29"," 3.50"," 85.53"," 0.17","",""," 5.72"," 1.48","","","",""," 1.50"," 0.99",""," 17.11","",""," 25.20","","","","",""," 25.85"," 38.06"," 22.81"," 33.60"," 21.21"," 31.24","",""," 2.22"," 0.99"," 0.09"," 85.52"," 14.82"," 32.56"," 38.42"," 147.23"," 1.10"
"BALRAMCHIN","2016-03-30","2018-07-22",""," 4.09"," 50.28"," 50.28","",""," 0.00"," 8.59",""," 1.22"," 4.09"," 0.00"," 0.00"," 0.00"," 0.00"," 0.04","",""," 9.01"," 1.49","","","",""," 1.48"," 0.96",""," 3.63","",""," 4.09","","","","",""," 16.59"," 18.68"," 12.60"," 14.18"," 3.90"," 4.40","",""," 2.14"," 0.96"," 0.18"," 0.00"," 2.71"," 5.26"," 8.14"," 112.54"," 1.21"
"BALRAMCHIN","2015-03-30","2018-07-22",""," -2.36"," 46.11"," 46.12","",""," 0.00"," 2.36",""," 1.05"," -2.36"," 0.00"," 0.00"," 0.00"," 0.00"," -0.05","",""," 19.37"," 0.92","","","",""," 1.79"," 0.41",""," -1.93","",""," -2.36","","","","",""," 4.73"," 5.78"," 0.86"," 1.06"," -2.54"," -3.11","",""," 1.07"," 0.41"," 0.26"," 0.00"," -1.47"," -3.21"," -5.11"," 121.96"," 1.43"
"BALRAMCHIN","2014-03-30","2018-07-22",""," 0.15"," 49.76"," 49.77","",""," 100.00"," 4.62",""," 1.08"," 0.15"," 0.00"," 0.00"," 0.00"," 100.00"," 0.00","",""," 10.71"," 0.96","","","",""," 1.27"," 0.51",""," 0.13","",""," 0.15","","","","",""," 9.00"," 9.80"," 4.89"," 5.33"," 0.47"," 0.52","",""," 1.12"," 0.51"," 0.12"," 100.00"," 0.08"," 0.18"," 0.29"," 108.84"," 1.11"
"BANKBARODA","2018-03-30","2018-07-22",""," -10.53"," 163.64"," 163.64"," 1863447327.05"," 185226664.31",""," -5.92"," 48.92","","","",""," 0.00",""," -0.06",""," 15.32","",""," 3.90"," 79840025.24"," 7936098.51"," 6.06","",""," 2.15"," -5.57"," -4448165.72"," -442147.67"," -9.17"," 0.92"," 1.41"," -20.82"," -1.26"," 164.60","","","","","",""," 0.87"," 0.86","","",""," 100.00"," -0.33",""," -5.60","",""
"BANKBARODA","2017-03-30","2018-07-22",""," 6.00"," 174.44"," 174.44"," 1796997620.87"," 187892864.56",""," 8.20"," 38.58","","","",""," 1.20",""," 0.03",""," 15.39","",""," 4.12"," 76993121.33"," 8050349.07"," 6.07","",""," 1.94"," 3.27"," 2523510.31"," 263856.54"," 5.99"," 0.97"," 1.33"," -12.73"," -0.77"," 182.65","","","","","",""," 0.99"," 0.95","","",""," 75.93"," 0.19",""," 3.43","",""
"BANKBARODA","2016-03-30","2018-07-22",""," -23.89"," 173.99"," 173.99"," 1761972134.84"," 184119500.30",""," -21.18"," 47.15","","","",""," 0.00",""," -0.16",""," 14.07","",""," 4.66"," 81054594.19"," 8469902.04"," 6.56","",""," 1.89"," -12.24"," -9925565.31"," -1037184.46"," -23.35"," 0.74"," 1.32"," -23.59"," -1.54"," 190.70","","","","","",""," 0.85"," 0.77","","",""," 100.00"," -0.80",""," -13.42","",""
"BANKBARODA","2015-03-30","2018-07-22",""," 15.83"," 179.62"," 179.62"," 1975112697.77"," 211759217.10",""," 16.86"," 29.96","","","",""," 3.20",""," 0.09",""," 15.51","",""," 4.16"," 81155188.89"," 8700951.23"," 6.00","",""," 1.84"," 7.91"," 6419409.33"," 688248.88"," 15.32"," 0.61"," 1.07"," -2.33"," -0.14"," 193.72","","","","","",""," 0.91"," 0.84","","",""," 78.57"," 0.47",""," 8.53","",""
"BANKINDIA","2018-03-30","2018-07-22",""," -52.55"," 172.00"," 203.82"," 1681752613.42"," 177122959.10",""," -31.68"," 50.87","","","",""," 0.00",""," -0.34",""," 14.48","",""," 4.52"," 74256697.68"," 7820749.57"," 6.24","",""," 1.72"," -15.87"," -11787995.12"," -1241517.07"," -34.66"," 0.94"," 1.49"," -30.93"," -1.93"," 218.33","","","","","",""," 0.60"," 0.47","","",""," 100.00"," -0.99",""," -20.15","",""
"BANKINDIA","2017-03-30","2018-07-22",""," -15.72"," 291.49"," 291.49"," 1807244168.46"," 189845795.79",""," -14.88"," 43.75","","","",""," 0.00",""," -0.11",""," 14.43","",""," 4.38"," 78331045.26"," 8228450.74"," 6.27","",""," 1.88"," -3.96"," -3106688.20"," -326348.65"," -14.76"," 1.08"," 1.41"," -21.20"," -1.33"," 372.27","","","","","",""," 0.48"," 0.37","","",""," 100.00"," -0.24",""," -5.06","",""
"BANKINDIA","2016-03-30","2018-07-22",""," -83.01"," 379.47"," 379.47"," 1717930805.59"," 0.00",""," -71.00"," 47.23","","","",""," 0.00",""," -0.77",""," 12.87","",""," 4.93"," 82325113.26"," 0.00"," 6.85","",""," 1.92"," -14.56"," -11993716.76"," 0.00"," -74.50"," 0.59"," 1.53"," -23.30"," -1.59"," 511.40","","","","","",""," 0.26"," 0.19","","",""," 100.00"," -0.99",""," -19.63","",""
"BANKINDIA","2015-03-30","2018-07-22",""," 26.57"," 472.42"," 472.42"," 1909100919.87"," 206166041.94",""," 29.96"," 29.09","","","",""," 5.00",""," 0.13",""," 12.84","",""," 5.18"," 88777412.10"," 9587176.60"," 7.01","",""," 1.83"," 3.93"," 3493295.18"," 377245.03"," 25.67"," 0.68"," 1.30"," -5.81"," -0.40"," 652.44","","","","","",""," 0.41"," 0.30","","",""," 80.56"," 0.27",""," 5.43","",""
"MAHABANK","2018-03-30","2018-07-22",""," -8.98"," 38.27"," 38.27"," 1217651432.83"," 173815693.24",""," -3.91"," 47.93","","","",""," 0.00",""," -0.32",""," 11.78","",""," 4.92"," 60110562.84"," 8580582.97"," 7.09","",""," 2.16"," -10.32"," -6206111.05"," -885901.72"," -4.41"," 0.96"," 1.72"," -23.89"," -1.69"," 42.70","","","","","",""," 0.36"," 0.32","","",""," 100.00"," -0.73",""," -11.52","",""
"MAHABANK","2017-03-30","2018-07-22",""," -11.75"," 52.84"," 63.16"," 1247702488.30"," 180798572.38",""," -10.74"," 44.62","","","",""," 0.00",""," -0.35",""," 11.26","",""," 5.57"," 64159360.11"," 9297024.59"," 7.57","",""," 1.99"," -11.37"," -7300575.00"," -1057891.24"," -11.75"," 0.94"," 1.79"," -23.88"," -1.80"," 103.24","","","","","",""," 0.64"," 0.33","","",""," 100.00"," -0.86",""," -22.23","",""
"MAHABANK","2016-03-30","2018-07-22",""," 0.91"," 64.12"," 75.21"," 1301068540.37"," 179115501.93",""," 2.14"," 34.09","","","",""," 0.00",""," 0.03",""," 10.97","",""," 5.69"," 68881191.03"," 9482735.71"," 8.10","",""," 2.40"," 0.77"," 531320.32"," 73145.80"," 0.86"," 0.63"," 1.58"," -7.03"," -0.57"," 111.72","","","","","",""," 0.45"," 0.26","","",""," 100.00"," 0.06",""," 1.34","",""
"MAHABANK","2015-03-30","2018-07-22",""," 4.50"," 62.92"," 75.88"," 1174032139.89"," 155555741.98",""," 5.32"," 32.40","","","",""," 0.80",""," 0.11",""," 10.31","",""," 6.02"," 67369380.32"," 8926241.10"," 8.67","",""," 2.65"," 3.55"," 2397296.81"," 317634.65"," 4.24"," 0.68"," 1.72"," -4.38"," -0.38"," 119.13","","","","","",""," 0.59"," 0.31","","",""," 81.12"," 0.30",""," 6.73","",""
"BASF","2018-03-30","2018-07-22",""," 56.90"," 310.44"," 310.44","",""," 98.70"," 92.37",""," 1.21"," 56.90"," 2.11"," 1.30"," 3.00"," 97.89"," 0.03","",""," 23.72"," 1.57","","","",""," 5.48"," 1.48",""," 4.41","",""," 56.94","","","","",""," 6.60"," 85.20"," 3.85"," 49.76"," 4.67"," 60.30","",""," 6.15"," 1.48"," 0.72"," 97.88"," 6.40"," 13.87"," 18.34"," 1289.77"," 0.37"
"BASF","2017-03-30","2018-07-22",""," -3.30"," 254.62"," 254.62","",""," 96.64"," 35.78",""," 1.27"," -3.30"," -36.87"," 3.36"," 1.00"," 136.87"," 0.00","",""," 24.67"," 1.37","","","",""," 5.52"," 1.16",""," -0.27","",""," -3.26","","","","",""," 5.53"," 64.95"," 2.20"," 25.91"," -0.24"," -2.88","",""," 5.36"," 1.16"," 0.79"," 136.87"," -0.36"," -0.73"," -1.28"," 1173.07"," 0.96"
"BASF","2016-03-30","2018-07-22",""," -7.00"," 257.80"," 257.80","",""," 86.96"," 30.66",""," 1.34"," -7.00"," -56.99"," 13.04"," 1.00"," 156.99"," -0.01","",""," 47.15"," 1.08","","","",""," 5.88"," 0.80",""," -0.63","",""," -7.02","","","","",""," 2.28"," 25.10"," -1.14"," -12.57"," -0.63"," -7.02","",""," 3.39"," 0.80"," 0.85"," 156.99"," -0.80"," -1.43"," -2.72"," 1096.61"," 1.21"
"BASF","2015-03-30","2018-07-22",""," -15.45"," 268.44"," 268.44","",""," 77.08"," 17.45",""," 1.39"," -15.45"," -25.87"," 22.92"," 4.00"," 125.87"," -0.01","",""," 44.10"," 1.34","","","",""," 4.75"," 1.03",""," -1.42","",""," -15.45","","","","",""," 3.03"," 33.02"," 0.01"," 0.12"," -1.39"," -15.21","",""," 4.16"," 1.03"," 0.83"," 125.87"," -1.60"," -2.80"," -5.75"," 1087.03"," 1.38"
"BATAINDIA","2018-03-30","2018-07-22",""," 17.40"," 115.05"," 115.05","",""," 84.17"," 22.10",""," 2.76"," 17.40"," 20.12"," 15.83"," 4.00"," 79.88"," 0.02","",""," 21.73"," 3.34","","","",""," 3.45"," 3.57",""," 8.50","",""," 17.40","","","","",""," 15.38"," 31.48"," 13.09"," 26.78"," 12.93"," 26.45","",""," 6.35"," 3.57"," 1.40"," 79.87"," 10.42"," 14.10"," 15.11"," 204.57",""
"BATAINDIA","2017-03-30","2018-07-22",""," 12.35"," 103.11"," 103.11","",""," 79.90"," 17.41",""," 2.74"," 12.35"," 28.33"," 20.10"," 3.50"," 71.67"," 0.02","",""," 20.88"," 2.75","","","",""," 3.50"," 2.96",""," 6.43","",""," 12.35","","","","",""," 13.14"," 25.23"," 10.50"," 20.17"," 9.46"," 18.17","",""," 5.50"," 2.96"," 1.31"," 71.66"," 8.25"," 11.10"," 11.97"," 191.96",""
"BATAINDIA","2016-03-30","2018-07-22",""," 17.02"," 89.96"," 92.04","",""," 84.70"," 22.87",""," 2.48"," 17.02"," 20.56"," 15.30"," 3.50"," 79.44"," 0.03","",""," 20.54"," 2.55","","","",""," 3.56"," 2.70",""," 9.04","",""," 17.02","","","","",""," 12.43"," 23.39"," 9.32"," 17.54"," 12.34"," 23.22","",""," 5.64"," 2.70"," 1.00"," 79.43"," 12.52"," 17.01"," 18.91"," 188.13",""
"BATAINDIA","2015-03-30","2018-07-22",""," 35.97"," 154.88"," 159.05","",""," 86.55"," 48.30",""," 1.96"," 35.97"," 18.06"," 13.45"," 6.50"," 81.94"," 0.03","",""," 17.98"," 2.52","","","",""," 3.82"," 2.60",""," 8.58","",""," 35.97","","","","",""," 14.03"," 58.84"," 11.09"," 46.51"," 12.20"," 51.14","",""," 7.04"," 2.60"," 0.60"," 81.93"," 14.11"," 20.64"," 23.22"," 419.21",""
"BAYERCROP","2017-03-30","2018-07-22",""," 82.31"," 580.99"," 580.99","",""," 81.22"," 90.37",""," 3.48"," 82.31"," 20.65"," 18.78"," 17.00"," 79.35"," 0.02","",""," 26.03"," 4.49","","","",""," 3.65"," 4.79",""," 10.38","",""," 82.20","","","","",""," 17.25"," 136.64"," 16.22"," 128.47"," 15.98"," 126.53","",""," 6.53"," 4.79"," 2.35"," 79.34"," 10.29"," 13.58"," 14.14"," 791.75",""
"BAYERCROP","2016-03-30","2018-07-22",""," 83.41"," 496.02"," 496.02","",""," 81.55"," 91.98",""," 3.29"," 83.41"," 19.97"," 18.45"," 17.00"," 80.03"," 0.02","",""," 25.42"," 3.36","","","",""," 5.69"," 3.56",""," 8.03","",""," 85.00","","","","",""," 13.22"," 139.80"," 12.56"," 132.82"," 12.36"," 130.76","",""," 7.60"," 3.56"," 2.23"," 80.02"," 12.34"," 16.51"," 17.13"," 1057.32",""
"BAYERCROP","2015-03-30","2018-07-22",""," 104.59"," 555.44"," 555.44","",""," 81.17"," 111.56",""," 3.50"," 104.59"," 20.07"," 18.83"," 21.00"," 79.93"," 0.03","",""," 18.30"," 2.97","","","",""," 6.59"," 3.27",""," 10.28","",""," 104.64","","","","",""," 16.20"," 164.86"," 15.52"," 157.95"," 15.40"," 156.69","",""," 5.99"," 3.27"," 2.66"," 79.92"," 13.80"," 18.27"," 18.84"," 1017.30",""
"BAYERCROP","2014-03-30","2018-07-22",""," 75.14"," 476.04"," 476.04","",""," 94.33"," 96.75",""," 3.12"," 75.14"," 6.94"," 5.67"," 5.50"," 93.06"," 0.05","",""," 9.86"," 1.55","","","",""," 5.91"," 1.70",""," 8.92","",""," 79.10","","","","",""," 15.72"," 139.40"," 13.73"," 121.75"," 13.58"," 120.44","",""," 3.17"," 1.70"," 2.19"," 93.05"," 12.12"," 16.15"," 16.61"," 886.67",""
"BEML","2017-03-30","2018-07-22",""," 20.28"," 522.25"," 522.25","",""," 88.63"," 35.05",""," 2.25"," 20.28"," 19.72"," 11.37"," 8.00"," 80.28"," 0.01","",""," 29.29"," 2.15","","","",""," 1.44"," 2.01",""," 2.97","",""," 20.22","","","","",""," 7.34"," 49.81"," 5.15"," 34.97"," 3.46"," 23.53","",""," 2.61"," 2.01"," 1.09"," 80.27"," 1.79"," 2.80"," 3.87"," 678.60"," 0.19"
"BEML","2016-03-30","2018-07-22",""," 12.64"," 504.97"," 504.97","",""," 84.27"," 25.34",""," 2.52"," 12.64"," 31.63"," 15.73"," 4.00"," 68.37"," 0.01","",""," 28.51"," 1.60","","","",""," 1.76"," 1.45",""," 1.76","",""," 12.61","","","","",""," 5.61"," 40.08"," 3.82"," 27.34"," 2.18"," 15.60","",""," 2.05"," 1.45"," 1.24"," 68.36"," 1.21"," 1.75"," 2.49"," 714.28"," 0.24"
"BEML","2015-03-30","2018-07-22",""," 1.62"," 497.16"," 497.16","",""," 92.93"," 14.10",""," 2.22"," 1.62"," 61.64"," 7.07"," 1.00"," 38.36"," 0.00","",""," 38.80"," 1.78","","","",""," 1.46"," 1.62",""," 0.24","",""," 1.62","","","","",""," 4.59"," 30.92"," 2.74"," 18.44"," 0.23"," 1.59","",""," 2.20"," 1.62"," 1.03"," 38.35"," 0.14"," 0.22"," 0.32"," 672.50"," 0.29"
"BEML","2014-03-30","2018-07-22",""," 1.12"," 497.90"," 497.90","",""," 92.85"," 13.94",""," 2.17"," 1.12"," 89.02"," 7.15"," 1.00"," 10.98"," 0.00","",""," 11.93"," 0.72","","","",""," 1.35"," 0.42",""," 0.16","",""," 1.12","","","","",""," 6.06"," 42.27"," 4.22"," 29.44"," 0.97"," 6.80","",""," 0.59"," 0.42"," 0.90"," 10.97"," 0.09"," 0.15"," 0.22"," 697.00"," 0.43"
"BERGEPAINT","2018-03-30","2018-07-22",""," 4.45"," 22.08"," 22.08","",""," 68.75"," 5.60",""," 1.62"," 4.45"," 39.35"," 31.25"," 1.80"," 60.65"," 0.02","",""," 31.55"," 5.28","","","",""," 5.03"," 5.27",""," 9.14","",""," 4.45","","","","",""," 16.72"," 8.14"," 14.35"," 6.98"," 14.01"," 6.82","",""," 11.62"," 5.27"," 0.90"," 60.64"," 12.32"," 19.53"," 20.14"," 48.65"," 0.07"
