 Asset Turnover Ratio (per),asset_turnover_ratio,,
 Basic EPS (Rs.),basic_eps,,
 Book Value [Excl. Reval Reserve]/Share (Rs.),book_value_per_share_excl_reval,,
 Book Value [ExclRevalReserve]/Share (Rs.),book_value_per_share_excl_reval,,
 Book Value [Incl. Reval Reserve]/Share (Rs.),book_value_per_share_incl_reval,,
 Book Value [InclRevalReserve]/Share (Rs.),book_value_per_share_incl_reval,,
 Business/ Branches (Rs.),business_per_branch,,
 Business/ Employee (Rs.),business_per_employ,,
 Cash Earnings Retention Ratio (per),cash_earnings_retention_ratio,,
 Cash EPS (Rs.),cash_eps,,
 Cost to Income (per),cost_to_income,,
 Current Ratio (X),current_ratio,,
 Diluted EPS (Rs.),diluted_eps,,
 Dividend  Payout Ratio (NP) (per),dividend_payout_ratio_np,,
 Dividend / Share(Rs.),dividend _per_share,,
 Dividend Payout Ratio (CP) (per),dividend_payout_ratio_cp,,
 Dividend/Share (Rs.),dividend _per_share,,
 Earnings Retention Ratio (per),earnings_retention_ratio,,
 Earnings Yield,earnings_yield,,
 Earnings Yield (X),earnings_yield,,
 Enterprise Value (Cr.),enterprise_value ,,
 Enterprise Value (Rs. Cr),enterprise_value ,,
 EV Per Net Sales (X),ev_to_net_sales,,
 EV/EBITDA (X),ev_to_ebitda,,
 EV/Net Operating Revenue (X),ev_to_net_operating_revenue,,
 Interest Expenses/Total Assets (per),interest_expenses_to_total_assets,,
 Interest Income/ Branch (Rs.),interest_income_per_branch,,
 Interest Income/ Employee (Rs.),interest_income_per_employee,,
 Interest Income/Total Assets (per),interest_income_to_total_assets,,
 Inventory Turnover Ratio (X),inventory_turnover_ratio,,
 MarketCap/Net Operating Revenue (X),marketcap_to_net_operating_revenue,,
 Net Interest Margin (X),net_interest_margin,,
 Net Profit Margin (per),net_profit_margin,,
 Net Profit/ Branches (Rs.),net_profit_per_branch,,
 Net Profit/ Employee (Rs.),net_profit_per_employee,,
 Net Profit/Share (Rs.),net_profit_per_share,,
 Non-Interest Income/Total Assets (per),non_interest_income_to_total_assets,,
 Operating Expenses/Total Assets (per),operating_expenses_to_total_assets,,
 Operating Profit Margin (per),operating_profit_margin,,
 Operating Profit/Total Assets (per),operating_profit_to_total_assets,,
 Operating Revenue / Share (Rs.),operating_revenue_per_share,,
 PBDIT Margin (per),pbdit_margin,,
 PBDIT/Share (Rs.),pbdit_per_share,,
 PBIT Margin (per),pbit_margin,,
 PBIT/Share (Rs.),pbit_per_share,,
 PBT Margin (per),pbt_margin,,
 PBT/Share (Rs.),pbt_per_share,,
 Price To Book Value (X),price_to_book_value,,
 Price To Sales (X),price_to sales,,
 Price/BV (X),price_to_bv,,
 Price/Net Operating Revenue,price_to_net_operating_revenue,,
 Quick Ratio (X),quick_ratio,,
 Retention Ratios (per),retention_ratios,,
 Return on Assets (per),return_on_assets,,
 Return on Capital Employed (per),return_on_capital_employed,,
 Return on Equity / Networth (per),return_on_equity,,
 Return on Networth / Equity (per),return_on_equity,,
 Revenue from Operations/Share (Rs.),revenue_from_operations_per_share,,
 Total Debt/Equity (X),debt_to_equity,,
,,,
,,,
