symbol,isin,stock_name,issuer_name,face_value,country,industry,outstanding_shares,
20MICRONS,INE144J01027,20 Microns Limited,20 Microns Limited,5,INDIA,,#N/A,
21STCENMGM,INE253B01015,,,,INDIA,,#N/A,
3IINFOTECH,INE748C01020,3i Infotech Limited,3i Infotech Limited,10,INDIA,IT,COMPUTERS - SOFTWARE,
3MINDIA,INE470A01017,3M India Limited,3M India Limited,10,INDIA,SERVICES,DIVERSIFIED,
3PLAND,INE105C01023,,,,INDIA,,#N/A,
5PAISA,INE618L01018,,,,INDIA,,#N/A,
63MOONS,INE111B01023,63 moons technologies limited,63 moons technologies limited,2,INDIA,IT,COMPUTERS - SOFTWARE,
8KMILES,INE650K01021,8K Miles Software Services Limited,8K Miles Software Services Limited,5,INDIA,IT,COMPUTERS - SOFTWARE,
A2ZINFRA,INE619I01012,A2Z Infra Engineering Limited,A2Z Infra Engineering Limited,10,INDIA,INDUSTRIAL MANUFACTURING,#N/A,
AARTIDRUGS,INE767A01016,Aarti Drugs Limited,Aarti Drugs Limited,10,INDIA,PHARMA,PHARMACEUTICALS,
AARTIIND,INE769A01020,Aarti Industries Limited,Aarti Industries Limited,5,INDIA,CHEMICALS,CHEMICALS,
AARVEEDEN,INE273D01019,Aarvee Denims & Exports Limited,Aarvee Denims & Exports Limited,10,INDIA,TEXTILES,TEXTILES - DENIM,
ABAN,INE421A01028,Aban Offshore Limited,Aban Offshore Limited,2,INDIA,ENERGY,OIL DRILLING AND EXPLORATION,
ABB,INE117A01022,ABB India Limited,ABB India Limited,2,INDIA,INDUSTRIAL MANUFACTURING,INFRASTRUCTURE - GENERAL,
ABBOTINDIA,INE358A01014,Abbott India Limited,Abbott India Limited,10,INDIA,PHARMA,PHARMACEUTICALS,CONSUMER GOODS
ABCAPITAL,INE674K01013,Aditya Birla Capital Limited,Aditya Birla Capital Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - INVESTMENTS,
ABFRL,INE647O01011,Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion and Retail Limited,10,INDIA,CONSUMER GOODS,RETAIL,
ABGSHIP,INE067H01016,ABG Shipyard Limited,ABG Shipyard Limited,10,INDIA,INDUSTRIAL MANUFACTURING,SHIPPING,
ACC,INE012A01025,ACC Limited,ACC Limited,10,INDIA,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
ACCELYA,INE793A01012,Accelya Kale Solutions Limited,Accelya Kale Solutions Limited,10,INDIA,,#N/A,
ACCURACY,INE648Z01015,,,,INDIA,,#N/A,
ACE,INE731H01025,Action Construction Equipment Limited,Action Construction Equipment Limited,2,INDIA,INDUSTRIAL MANUFACTURING,#N/A,
ADANIENT,INE423A01024,Adani Enterprises Limited,Adani Enterprises Limited,1,INDIA,SERVICES,TRADING,SERVICES
ADANIGREEN,INE364U01010,,,,INDIA,,#N/A,
ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Limited,Adani Ports and Special Economic Zone Limited,2,INDIA,SERVICES,INFRASTRUCTURE - GENERAL,
