"symbol","isin","stock_name","issuer_name","face_value","country","industry","outstanding_shares","sub_industry"
"20MICRONS","INE144J01027","20 Microns Limited","20 Microns Limited","5.00","INDIA","","15947097.063438691",""
"21STCENMGM","INE253B01015","21st Century Management Services Limited","21st Century Management Services Limited","10.00","INDIA","","5753196.220122291",""
"3IINFOTECH","INE748C01020","3i Infotech Limited","3i Infotech Limited","10.00","INDIA","IT","784900849.858357","COMPUTERS - SOFTWARE"
"3MINDIA","INE470A01017","3M India Limited","3M India Limited","10.00","INDIA","SERVICES","2815019.396057581","DIVERSIFIED"
"3PLAND","INE105C01023","3P Land Holdings Limited","3P Land Holdings Limited","2.00","INDIA","","5231629.3929712465",""
"5PAISA","INE618L01018","5Paisa Capital Limited","5Paisa Capital Limited","10.00","INDIA","","8555372.07691898",""
"63MOONS","INE111B01023","63 moons technologies limited","63 moons technologies limited","2.00","INDIA","IT","24984102.759760905","COMPUTERS - SOFTWARE"
"8KMILES","INE650K01021","8K Miles Software Services Limited","8K Miles Software Services Limited","5.00","INDIA","IT","13347806.95320522","COMPUTERS - SOFTWARE"
"A2ZINFRA","INE619I01012","A2Z Infra Engineering Limited","A2Z Infra Engineering Limited","10.00","INDIA","INDUSTRIAL MANUFACTURING","90414956.68034656",""
"AARTIDRUGS","INE767A01016","Aarti Drugs Limited","Aarti Drugs Limited","10.00","INDIA","PHARMA","8976253.009411251","PHARMACEUTICALS"
"AARTIIND","INE769A01020","Aarti Industries Limited","Aarti Industries Limited","5.00","INDIA","CHEMICALS","38753601.84185501","CHEMICALS"
"AARVEEDEN","INE273D01019","Aarvee Denims & Exports Limited","Aarvee Denims & Exports Limited","10.00","INDIA","TEXTILES","7430232.558139535","TEXTILES - DENIM"
"ABAN","INE421A01028","Aban Offshore Limited","Aban Offshore Limited","2.00","INDIA","ENERGY","31688892.788208455","OIL DRILLING AND EXPLORATION"
