symbol,name,facev,marketcap_cr,vwap,outshares,dividend,exdate,recorddate
20MICRONS,20 Microns Limited,5.00,71.14,44.61,15947097.063438691,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.35 PER SHARE,10-SEP-18,-
21STCENMGM,21st Century Management Services Limited,10.00,20.70,35.98,5753196.220122291,ANNUAL GENERAL MEETING\/DIVIDEND RS 2.50\/- PER SHARE,04-JUL-18,-
3IINFOTECH,3i Infotech Limited,10.00,277.07,3.53,784900849.858357,ANNUAL GENERAL MEETING,20-JUL-18,-
3MINDIA,3M India Limited,10.00,7268.29,25819.68,2815019.396057581,ANNUAL GENERAL MEETING,02-AUG-18,-
3PLAND,3P Land Holdings Limited,2.00,6.55,12.52,5231629.3929712465,ANNUAL GENERAL MEETING,10-JUL-18,-
5PAISA,5Paisa Capital Limited,10.00,321.22,375.46,8555372.07691898,ANNUAL GENERAL MEETING,06-JUL-18,-
63MOONS,63 moons technologies limited,2.00,196.45,78.63,24984102.759760905,ANNUAL GENERAL MEETING\/ DIVIDEND- RS 2 PER SHARE,19-SEP-17,-
8KMILES,8K Miles Software Services Limited,5.00,454.96,340.85,13347806.95320522,ANNUAL GENERAL MEETING\/DIVIDEND - RE 1\/- PER SHARE,25-SEP-17,-
A2ZINFRA,A2Z Infra Engineering Limited,10.00,198.28,21.93,90414956.68034656,ANNUAL GENERAL MEETING,21-SEP-17,-
AARTIDRUGS,Aarti Drugs Limited,10.00,492.15,548.28,8976253.009411251,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,01-AUG-18,-
AARTIIND,Aarti Industries Limited,5.00,5420.04,1398.59,38753601.84185501,BUYBACK,04-JAN-18,05-JAN-18
AARVEEDEN,Aarvee Denims & Exports Limited,10.00,25.56,34.40,7430232.558139535,ANNUAL GENERAL MEETING,19-SEP-18,-
ABAN,Aban Offshore Limited,2.00,361.19,113.98,31688892.788208455,ANNUAL GENERAL MEETING,12-SEP-18,-
ABB,ABB India Limited,2.00,6511.41,1258.38,51744385.63867829,ANNUAL GENERAL MEETING\/ DIVIDEND - RS 4.40 PER SHARE,27-APR-18,-
ABBOTINDIA,Abbott India Limited,10.00,4201.78,7888.48,5326476.076506501,ANNUAL GENERAL MEETING \/ FINAL DIVIDEND- RS 50 PER SHARE \/ SPECIAL DIVIDEND- RS 5 PER SHARE,10-JUL-18,-
ABCAPITAL,Aditya Birla Capital Limited,10.00,7916.13,142.98,553652958.455728,ANNUAL GENERAL MEETING,16-AUG-18,-
ABFRL,Aditya Birla Fashion and Retail Limited,10.00,6051.27,190.65,317402045.63335955,ANNUAL GENERAL MEETING,16-JUL-15,-
ABGSHIP,ABG Shipyard Limited,10.00,19.76,4.81,41081081.081081085,ANNUAL GENERAL MEETING,09-SEP-16,-
ACC,ACC Limited,10.00,13514.76,1633.72,82723844.96731386,ANNUAL GENERAL MEETING \/ DIVIDEND RS 15 PER SHARE,17-MAY-18,-
ACCELYA,Accelya Kale Solutions Limited,10.00,375.51,1007.66,3726554.591826608,INTERM DIVIDEND RS 14\/- PER SHARE,14-FEB-18,15-FEB-18
ACE,Action Construction Equipment Limited,2.00,506.27,138.45,36566991.69375226,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.50 PER SHARE,18-SEP-18,-
ADANIENT,Adani Enterprises Limited,1.00,5842.74,217.29,268891343.3660086,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.40 PER SHARE,27-JUL-18,-
ADANIGREEN,Adani Green Energy Limited,10.00,1167.07,58.86,198278967.04043493,ANNUAL GENERAL MEETING,27-JUL-18,-
ADANIPORTS,Adani Ports and Special Economic Zone Limited,2.00,26633.48,378.34,703956229.8461702,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2 PER SHARE,26-JUL-18,-
ADANIPOWER,Adani Power Limited,10.00,2555.41,32.24,792620967.7419354,ANNUAL GENERAL MEETING,26-JUL-18,-
ADANITRANS,Adani Transmission Limited,10.00,4627.45,169.69,272700218.0446697,ANNUAL GENERAL MEETING,27-JUL-18,-
ADFFOODS,ADF Foods Limited,10.00,332.78,246.70,13489258.208350223,ANNUAL GENERAL MEETING\/DIVIDEND - RS 2.50 PER SHARE,14-AUG-17,-
ADHUNIK,Adhunik Metaliks Limited,10.00,14.91,3.48,42844827.5862069,ANNUAL GENERAL MEETING,13-SEP-17,-
ADHUNIKIND,Adhunik Industries Limited,10.00,80.26,69.17,11603296.22668787,ANNUAL GENERAL MEETING,18-SEP-18,-
ADLABS,Adlabs Entertainment Limited,10.00,121.31,37.26,32557702.6301664,ANNUAL GENERAL MEETING,26-JUL-18,-
ADORWELD,Ador Welding Limited,10.00,204.34,350.13,5836118.013309343,DIVIDEND- RS 5 PER SHARE (DATE REVISED),02-AUG-18,-
ADROITINFO,Adroit Infotech Limited,10.00,18.43,25.25,7299009.900990099,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.50 PER SHARE,21-AUG-17,-
ADSL,Allied Digital Services Limited,5.00,32.48,14.39,22571230.02084781,ANNUAL GENERAL MEETING,24-AUG-18,-
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,2.00,32.61,49.48,6590541.632983023,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.20 PER SHARE,27-JUL-18,-
ADVENZYMES,Advanced Enzyme Technologies Limited,2.00,642.85,215.20,29872211.895910785,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.50 PER SHARE,06-SEP-18,-
AEGISCHEM,Aegis Logistics Limited,1.00,3051.34,232.55,131212212.42743497,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.75 PER SHARE,01-AUG-18,-
AFL,Accel Frontline Limited,10.00,50.33,76.78,6555092.471997916,ANNUAL GENERAL MEETING,07-SEP-17,-
AGARIND,Agarwal Industrial Corporation Limited,10.00,78.74,307.26,2562650.523986201,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.50 PER SHARE,22-SEP-17,-
AGCNET,AGC Networks Limited,10.00,75.01,106.76,7026039.7152491575,ANNUAL GENERAL MEETING,24-JUL-18,-
AGLSL,Artemis Global Life Sciences Limited,2.00,118.19,78.69,15019697.547337653,-,-,-
AGRITECH,Agri-Tech (India) Limited,10.00,24.67,80.93,3048313.3572222907,ANNUAL GENERAL MEETING,12-JUL-18,-
AHLEAST,Asian Hotels (East) Limited,10.00,107.12,270.54,3959488.4305463145,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2.50 PER SHARE,14-AUG-18,-
AHLUCONT,Ahluwalia Contracts (India) Limited,2.00,882.59,311.94,28293582.099121626,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.30 PER SHARE,12-SEP-18,-
AHLWEST,Asian Hotels (West) Limited,10.00,75.69,296.48,2552954.668105774,DIVIDEND- RE 1 PER SHARE,25-JUN-18,-
AIAENG,AIA Engineering Limited,2.00,6399.36,1792.51,35700553.971804895,INTERIM DIVIDEND RS 8\/- PER SHARE (PURPOSE REVISED),04-APR-18,05-APR-18
AIFL,Ashapura Intimates Fashion Limited,10.00,475.54,459.26,10354483.299220486,INTERIM DIVIDEND - RE 0.50 PER SHARE,21-FEB-18,22-FEB-18
AJANTPHARM,Ajanta Pharma Limited,2.00,3071.49,1221.84,25138234.138676096,ANNUAL GENERAL MEETING,26-JUN-18,-
AJMERA,Ajmera Realty & Infra India Limited,10.00,268.69,203.63,13195010.558365664,ANNUAL GENERAL MEETING\/DIVIDEND - RS 3\/- PER SHARE (BOOK CLOSURE DATE REVISED),21-SEP-17,-
AKSHARCHEM,AksharChem India Limited,10.00,146.43,521.43,2808238.8815373112,ANNUAL GENERAL MEETING,06-SEP-17,-
AKSHOPTFBR,Aksh Optifibre Limited,5.00,358.46,30.11,119050149.45200929,ANNUAL GENERAL MEETING,18-DEC-17,-
AKZOINDIA,Akzo Nobel India Limited,10.00,1867.24,1738.43,10740955.919996778,ANNUAL GENERAL MEETING\/DIVIDEND- RS 22 PER SHARE,25-JUL-18,-
ALANKIT,Alankit Limited,1.00,200.54,24.69,81223167.27420007,INTERIM DIVIDEND - RE 0.20 PER SHARE,21-FEB-18,22-FEB-18
ALBERTDAVD,Albert David Limited,10.00,126.27,571.83,2208173.7579350504,ANNUAL GENERAL MEETING\/DIVIDEND- RS 5.50 PER SHARE,24-AUG-18,-
ALBK,Allahabad Bank,10.00,1032.84,40.77,253333333.33333328,ANNUAL GENERAL MEETING,19-JUN-18,-
ALCHEM,Alchemist Limited,10.00,5.20,5.69,9138840.070298769,ANNUAL GENERAL MEETING,14-SEP-18,-
ALEMBICLTD,Alembic Limited,2.00,446.05,45.92,97136324.04181185,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.20 PER SHARE,27-JUL-18,-
ALICON,Alicon Castalloy Limited,5.00,156.98,608.24,2580889.122714718,ANNUAL GENERAL MEETING\/DIVIDEND RS 4.25 PER SHARE,12-SEP-18,-
ALKALI,Alkali Metals Limited,10.00,19.60,64.46,3040645.361464475,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,21-JUN-18,-
ALKEM,Alkem Laboratories Limited,2.00,8631.46,2101.06,41081454.123156875,ANNUAL GENERAL MEETING\/DIVIDEND- RS 7 PER SHARE,23-AUG-18,24-AUG-18
ALKYLAMINE,Alkyl Amines Chemicals Limited,5.00,342.92,648.38,5288873.8085690485,ANNUAL GENERAL MEETING\/DIVIDEND- RS 7 PER SHARE,20-JUL-18,-
ALLCARGO,Allcargo Logistics Limited,2.00,904.09,122.44,73839431.55831428,DIVIDEND- RS 2 PER SHARE,02-AUG-18,-
ALLSEC,Allsec Technologies Limited,10.00,109.06,246.19,4429911.856696048,ANNUAL GENERAL MEETING\/DIVIDEND- RS 5 PER SHARE,30-JUL-18,-
