symbol,sector,marketcap_cr
3MINDIA,DIVERSIFIED,"27,419.18"
8KMILES,COMPUTERS - SOFTWARE,"1,079.26"
AARTIIND,CHEMICALS,"11,244.60"
ABAN,OIL DRILLING AND EXPLORATION,665.36
ABB,INFRASTRUCTURE - GENERAL,"25,576.28"
ABBOTINDIA,PHARMACEUTICALS,"16,921.03"
ACC,CEMENT - MAJOR,"29,018.77"
ADANIENT,TRADING,"21,875.22"
ADANIPORTS,INFRASTRUCTURE - GENERAL,"78,375.17"
ADANIPOWER,POWER - GENERATION & DISTRIBUTION,"12,052.93"
ADANITRANS,POWER - TRANSMISSION & EQUIPMENT,"17,987.39"
ABFRL,RETAIL,"13,794.54"
ADVENZYMES,PHARMACEUTICALS,"2,456.27"
AEGISCHEM,TRANSPORT & LOGISTICS,"7,842.32"
AIAENG,CASTINGS & FORGINGS,"15,987.30"
AJANTPHARM,PHARMACEUTICALS,"10,132.34"
AKZOINDIA,PAINTS & VARNISHES,"8,165.55"
APLLTD,PHARMACEUTICALS,"10,875.48"
ALKEM,PHARMACEUTICALS,"24,764.30"
ALBK,BANKS - PUBLIC SECTOR,"4,709.58"
ALLCARGO,TRANSPORT & LOGISTICS,"2,900.44"
AMARAJABAT,AUTO ANCILLARIES,"14,040.79"
AMBUJACEM,CEMENT - MAJOR,"45,163.50"
ANDHRABANK,BANKS - PUBLIC SECTOR,"4,111.99"
APARINDS,ELECTRIC EQUIPMENT,"2,208.10"
APLAPOLLO,STEEL - TUBES & PIPES,"4,195.43"
APOLLOHOSP,HOSPITALS & MEDICAL SERVICES,"13,168.89"
APOLLOTYRE,TYRES,"15,044.91"
ARVIND,TEXTILES - DENIM,"10,181.75"
ASAHIINDIA,GLASS & GLASS PRODUCTS,"7,912.58"
ASHOKLEY,AUTO - LCVS & HCVS,"37,425.42"
ASHOKA,CONSTRUCTION & CONTRACTING - CIVIL,"4,053.64"
ASIANPAINT,PAINTS & VARNISHES,"136,023.84"
ASTRAMICRO,TELECOMMUNICATIONS - EQUIPMENT,845.76
ASTRAL,PLASTICS,"13,104.69"
ASTRAZEN,PHARMACEUTICALS,"4,398.25"
ATUL,DYES & PIGMENTS,"9,180.90"
AUROPHARMA,PHARMACEUTICALS,"35,749.15"
AVANTIFEED,AQUACULTURE,"6,216.89"
DMART,RETAIL,"99,257.52"
AXISBANK,BANKS - PRIVATE SECTOR,"158,104.04"
BAJAJ-AUTO,AUTO - 2 & 3 WHEELERS,"76,139.70"
BAJAJCORP,PERSONAL CARE,"6,025.38"
BAJAJELEC,DOMESTIC APPLIANCES,"6,185.70"
BAJFINANCE,FINANCE - LEASING & HIRE PURCHASE,"162,224.17"
BAJAJFINSV,FINANCE - INVESTMENTS,"112,766.31"
BAJAJHIND,SUGAR,765.15
BAJAJHLDNG,FINANCE - INVESTMENTS,"33,243.37"
BALKRISIND,TYRES,"24,280.64"
BALMLAWRIE,DIVERSIFIED,"2,525.16"
BALRAMCHIN,SUGAR,"1,652.75"
BANKBARODA,BANKS - PUBLIC SECTOR,"39,233.00"
BANKINDIA,BANKS - PUBLIC SECTOR,"16,296.85"
MAHABANK,BANKS - PUBLIC SECTOR,"3,388.38"
BASF,CHEMICALS,"8,514.50"
BATAINDIA,LEATHER PRODUCTS,"12,519.23"
BAYERCROP,PESTICIDES & AGRO CHEMICALS,"14,536.33"
