symbol,sector,marketcap_cr,price,outshares
3MINDIA,DIVERSIFIED,27517.13,24453.00,11253069.153069153
8KMILES,COMPUTERS - SOFTWARE,1079.26,353.90,30496185.363096923
AARTIIND,CHEMICALS,11244.60,1393.30,80704801.55027634
ABAN,OIL DRILLING AND EXPLORATION,667.70,114.55,58288956.78742907
ABB,INFRASTRUCTURE - GENERAL,25576.28,1206.45,211996187.160678
ABBOTINDIA,PHARMACEUTICALS,17010.92,7996.55,21272823.905309163
ACC,CEMENT - MAJOR,29018.77,1545.30,187787290.49375528
ADANIENT,TRADING,21875.22,199.15,1098429324.629676
ADANIPORTS,INFRASTRUCTURE - GENERAL,78375.17,379.30,2066310835.7500658
ADANIPOWER,POWER - GENERATION & DISTRIBUTION,12052.93,31.30,3850776357.827476
ADANITRANS,POWER - TRANSMISSION & EQUIPMENT,17987.39,163.95,1097126562.9765174
ABFRL,RETAIL,13794.54,179.60,768070155.9020045
ADVENZYMES,PHARMACEUTICALS,2456.27,220.00,111648636.36363636
AEGISCHEM,TRANSPORT & LOGISTICS,7842.32,234.95,333786763.14109385
AIAENG,CASTINGS & FORGINGS,15987.30,1714.40,93253033.13112459
AJANTPHARM,PHARMACEUTICALS,10104.18,1146.10,88161416.9793212
AKZOINDIA,PAINTS & VARNISHES,8163.22,1749.60,46657636.03109282
APLLTD,PHARMACEUTICALS,10812.33,576.00,187714062.49999997
ALKEM,PHARMACEUTICALS,24764.30,2059.80,120226721.04087774
ALBK,BANKS - PUBLIC SECTOR,4709.58,44.80,1051245535.7142857
ALLCARGO,TRANSPORT & LOGISTICS,2900.44,118.05,245695891.57136807
AMARAJABAT,AUTO ANCILLARIES,14073.24,824.60,170667475.13946155
AMBUJACEM,CEMENT - MAJOR,45163.50,227.70,1983465085.6389987
ANDHRABANK,BANKS - PUBLIC SECTOR,4111.99,34.05,1207632892.804699
APARINDS,ELECTRIC EQUIPMENT,2208.10,577.65,38225569.11624686
APLAPOLLO,STEEL - TUBES & PIPES,4195.43,1761.80,23813315.92689295
APOLLOHOSP,HOSPITALS & MEDICAL SERVICES,13168.89,943.90,139515732.59879223
APOLLOTYRE,TYRES,15096.40,264.00,571833333.3333333
ARVIND,TEXTILES - DENIM,10181.75,393.30,258879989.82964656
ASAHIINDIA,GLASS & GLASS PRODUCTS,7929.59,326.35,242978091.00658798
ASHOKLEY,AUTO - LCVS & HCVS,37425.42,127.55,2934176401.4112115
ASHOKA,CONSTRUCTION & CONTRACTING - CIVIL,4053.64,145.30,278984170.6813489
ASIANPAINT,PAINTS & VARNISHES,136023.84,1418.60,958859720.8515438
ASTRAMICRO,TELECOMMUNICATIONS - EQUIPMENT,845.76,98.00,86302040.81632653
ASTRAL,PLASTICS,13149.02,1103.10,119200616.44456533
ASTRAZEN,PHARMACEUTICALS,4398.25,1764.85,24921381.42051733
ATUL,DYES & PIGMENTS,9180.90,3078.70,29820703.54370351
AUROPHARMA,PHARMACEUTICALS,35749.15,610.90,585188246.8489115
AVANTIFEED,AQUACULTURE,6216.89,456.25,136260602.73972604
DMART,RETAIL,99257.52,1589.40,624496791.241978
AXISBANK,BANKS - PRIVATE SECTOR,158104.04,615.50,2568709017.0593014
BAJAJ-AUTO,AUTO - 2 & 3 WHEELERS,76139.70,2629.70,289537589.8391451
BAJAJCORP,PERSONAL CARE,6039.39,410.70,147051132.2132944
BAJAJELEC,DOMESTIC APPLIANCES,6185.70,606.60,101973293.76854599
BAJFINANCE,FINANCE - LEASING & HIRE PURCHASE,162224.17,2808.45,577628834.4104401
BAJAJFINSV,FINANCE - INVESTMENTS,112766.31,7083.85,159187885.11896777
BAJAJHIND,SUGAR,767.42,6.80,1128558823.5294118
BAJAJHLDNG,FINANCE - INVESTMENTS,33274.53,2996.60,111040946.40592672
BALKRISIND,TYRES,24212.01,1253.25,193193776.18192697
BALMLAWRIE,DIVERSIFIED,2514.33,220.85,113847860.53882726
BALRAMCHIN,SUGAR,1656.18,72.75,227653608.2474227
BANKBARODA,BANKS - PUBLIC SECTOR,39233.00,148.30,2645515846.2575855
BANKINDIA,BANKS - PUBLIC SECTOR,16296.85,93.60,1741116452.9914532
MAHABANK,BANKS - PUBLIC SECTOR,3388.38,13.00,2606446153.846154
BASF,CHEMICALS,8532.03,1968.05,43352709.53481873
BATAINDIA,LEATHER PRODUCTS,12519.23,975.80,128297089.56753434
BAYERCROP,PESTICIDES & AGRO CHEMICALS,14536.33,4242.25,34265613.76627969
BEML,INFRASTRUCTURE - GENERAL,3365.29,807.75,41662519.34385639
BERGEPAINT,PAINTS & VARNISHES,31849.95,328.20,970443327.2394881
BFUTILITIE,POWER - GENERATION & DISTRIBUTION,1281.83,339.75,37728623.98822664
BEL,ELECTRICALS,29754.16,121.15,2455976888.1551795
BHARATFIN,FINANCE - GENERAL,16786.04,1203.55,139471064.76673177
BHARATFORG,CASTINGS & FORGINGS,29320.44,629.45,465810469.4574628
BHARTIARTL,TELECOMMUNICATIONS - SERVICE,146844.49,369.80,3970916441.3196316
INFRATEL,TELECOMMUNICATIONS - EQUIPMENT,53416.69,289.90,1842590203.518455
BHEL,INFRASTRUCTURE - GENERAL,26819.58,73.20,3663877049.180328
BIOCON,PHARMACEUTICALS,33876.00,564.90,599681359.5326607
BIRLACORPN,CEMENT - MAJOR,5933.26,769.10,77145494.7341048
BLISSGVS,PHARMACEUTICALS,1799.91,172.35,104433420.36553526
BLUEDART,COURIERS,8494.48,3553.10,23907235.93481748
BLUESTARCO,CONSUMER GOODS - WHITE GOODS,6757.38,697.30,96907787.17911947
BBTC,PLANTATIONS - TEA & COFFEE,10856.51,1561.15,69541748.07033277
BOMDYEING,TEXTILES - PROCESSING,5494.86,265.70,206806925.10350016
BOSCHLTD,AUTO ANCILLARIES,58963.48,19370.55,30439755.195386816
BPCL,REFINERIES,87062.96,401.60,2167902390.438247
BRITANNIA,FOOD PROCESSING,76077.88,6343.75,119925722.1674877
CADILAHC,PHARMACEUTICALS,38543.91,377.15,1021978257.9875382
CANFINHOME,FINANCE - HOUSING,4263.00,320.25,133114754.09836066
CANBK,BANKS - PUBLIC SECTOR,20692.17,282.35,732855321.4095979
CAPF,FINANCE - GENERAL,5799.31,585.65,99023478.18663025
CAPLIPOINT,PHARMACEUTICALS,3058.92,398.65,76731970.40010035
CARBORUNIV,ABRASIVES,6613.53,350.30,188796174.70739365
CARERATING,MISCELLANEOUS,3895.66,1323.15,29442315.68605222
CASTROLIND,LUBRICANTS,15613.30,158.05,987870926.9218601
CCL,PLANTATIONS - TEA & COFFEE,3420.15,257.20,132976283.04821151
CEATLTD,TYRES,5663.01,1400.75,40428413.349991076
CENTRALBK,BANKS - PUBLIC SECTOR,19749.52,68.75,2872657454.545455
CENTURYTEX,DIVERSIFIED,10058.20,900.60,111683322.22962469
CENTURYPLY,MISCELLANEOUS,5260.54,236.55,222385964.91228068
CERA,CERAMICS & GRANITE,3717.40,2826.10,13153816.21315594
CESC,POWER - GENERATION & DISTRIBUTION,12133.61,914.15,132731061.64196248
