Date,Security,Close,Supertrend,Macd,Macd_h,Macd_s,BB_l,BB_m,BB_u,sRSI_k,sRSI_d
2023-08-24,HEROMOTOCO,2930.6,3122.02,-25.3,-13.05,-12.25,2852.45,3015.08,3177.71,21.97,17.86
2023-08-24,HINDUNILVR,2573.25,2616.24,-15.77,7.36,-23.14,2520.1,2555.9,2591.69,99.64,99.88
2023-08-24,BRITANNIA,4532.55,4736.75,-110.65,-1.79,-108.86,4351.24,4640.68,4930.12,35.87,30.38
2023-08-24,JSWSTEEL,790.3,773.78,0.59,-3.36,3.95,779.89,804.5,829.1,17.8,17.24
2023-08-24,WIPRO,413.7,398.33,3.77,-0.43,4.2,398.05,411.13,424.22,37.93,45.2
2023-08-24,BAJAJFINSV,1469.7,1546.8,-27.31,-4.39,-22.92,1419.69,1510.8,1601.91,48.99,40.74
2023-08-24,BHARTIARTL,868.5,854.26,-1.93,-1.64,-0.29,852.05,877.02,901.98,54.4,49.77
2023-08-24,NESTLEIND,22229.95,22756.83,-157.59,12.55,-170.14,21607.99,22216.16,22824.33,82.97,63.28
2023-08-24,ASIANPAINT,3219.25,3314.82,-50.58,-9.39,-41.19,3105.47,3272.91,3440.34,35.08,22.01
2023-08-24,NTPC,220.05,209.74,5.57,-0.53,6.1,207.48,217.04,226.6,46.23,36.78
2023-08-24,BAJAJ-AUTO,4646.1,4826.23,-43.36,-5.02,-38.34,4484.95,4711.42,4937.9,64.09,43.1
2023-08-24,M&M,1540.0,1580.11,16.07,-1.18,17.26,1442.49,1518.56,1594.63,56.26,58.56
2023-08-24,BAJFINANCE,7135.45,7241.96,-73.74,4.66,-78.4,6875.79,7123.84,7371.88,100.0,86.7
2023-08-24,SUNPHARMA,1120.0,1083.03,12.53,-6.7,19.23,1121.48,1139.84,1158.19,1.71,2.73
2023-08-24,ADANIENT,2539.7,2435.4,39.6,2.32,37.27,2391.73,2520.15,2648.56,47.93,68.81
2023-08-24,ULTRACEMCO,8208.0,8438.81,-8.6,2.41,-11.01,8054.74,8198.84,8342.94,70.73,74.28
2023-08-24,TITAN,3064.9,2944.14,22.85,10.28,12.57,2885.06,2999.95,3114.84,90.79,92.5
2023-08-24,ICICIBANK,970.0,991.08,-2.14,-1.39,-0.76,939.39,970.47,1001.55,58.07,32.3
2023-08-24,HINDALCO,455.85,438.29,3.35,-1.26,4.61,440.2,455.71,471.22,44.08,33.45
2023-08-24,ONGC,173.45,169.49,1.98,-0.71,2.69,170.75,175.41,180.08,4.38,6.52
2023-08-24,TATAMOTORS,611.1,649.33,1.12,-2.04,3.15,597.69,620.71,643.74,47.6,48.56
2023-08-24,POWERGRID,248.05,257.3,-0.3,0.32,-0.61,236.12,247.86,259.59,94.43,84.79
2023-08-24,HDFCBANK,1580.85,1638.97,-19.85,-5.62,-14.23,1567.15,1625.13,1683.11,5.0,2.96
2023-08-24,DIVISLAB,3675.1,3602.63,4.99,-13.2,18.19,3587.78,3716.82,3845.86,9.63,6.35
2023-08-24,LTIM,5189.35,4913.45,53.02,13.04,39.98,4803.45,5046.26,5289.07,73.51,69.13
2023-08-24,COALINDIA,229.45,221.73,-0.25,-0.43,0.19,225.82,231.99,238.15,41.74,33.9
2023-08-24,LT,2686.25,2581.35,43.46,-3.35,46.81,2601.35,2654.84,2708.34,55.7,43.71
2023-08-24,DRREDDY,5905.2,5675.87,166.16,-7.87,174.03,5501.57,5766.6,6031.64,50.37,60.18
2023-08-24,INDUSINDBK,1422.5,1345.95,6.09,-0.94,7.03,1364.33,1398.92,1433.51,65.66,50.32
2023-08-24,SBIN,576.15,594.02,-5.57,-0.41,-5.16,545.7,582.7,619.69,79.44,57.31
2023-08-24,TATASTEEL,118.45,122.47,0.36,-0.31,0.66,114.93,118.91,122.89,58.46,39.97
2023-08-24,ADANIPORTS,823.6,784.15,23.81,3.2,20.61,733.83,794.95,856.07,49.96,73.76
2023-08-24,INFY,1421.9,1440.23,14.68,1.42,13.26,1339.48,1385.2,1430.92,66.04,55.45
2023-08-24,KOTAKBANK,1781.6,1829.81,-27.38,-2.42,-24.97,1735.82,1810.39,1884.97,59.44,39.73
2023-08-24,GRASIM,1773.05,1749.0,-0.56,-7.91,7.35,1780.13,1820.97,1861.81,11.86,16.82
2023-08-24,BPCL,351.0,366.69,-7.23,-1.29,-5.94,341.54,361.16,380.79,26.01,8.67
2023-08-24,APOLLOHOSP,4923.5,5195.79,-51.7,-2.85,-48.86,4744.83,4990.73,5236.63,94.05,88.55
2023-08-24,HDFCLIFE,631.95,656.87,-4.24,-1.12,-3.12,618.49,639.06,659.62,60.57,44.89
2023-08-24,HCLTECH,1178.1,1127.72,11.54,3.53,8.01,1102.37,1151.84,1201.31,94.05,97.06
2023-08-24,TECHM,1203.45,1144.22,14.72,-1.44,16.17,1095.6,1185.68,1275.76,27.72,43.64
2023-08-24,EICHERMOT,3359.05,3472.72,-8.0,2.34,-10.34,3301.32,3361.04,3420.75,55.36,55.33
2023-08-24,RELIANCE,2497.35,2648.54,-15.35,-0.96,-14.4,2473.63,2525.61,2577.6,30.05,43.45
2023-08-24,CIPLA,1224.55,1159.58,40.72,-8.11,48.84,1152.38,1218.92,1285.46,3.07,2.04
2023-08-24,UPL,587.3,615.18,-15.55,0.29,-15.84,570.75,602.35,633.96,57.62,48.93
2023-08-24,SBILIFE,1299.05,1258.97,1.07,-1.95,3.02,1245.19,1294.96,1344.73,40.15,35.93
2023-08-24,TCS,3390.15,3313.46,6.24,-11.96,18.19,3354.44,3425.06,3495.69,20.72,19.38
2023-08-24,ITC,450.6,466.2,-3.83,-0.33,-3.5,439.48,454.34,469.19,85.39,71.48
2023-08-24,MARUTI,9591.8,9758.9,-33.41,13.98,-47.39,9260.66,9530.46,9800.26,96.01,80.18
2023-08-24,AXISBANK,984.95,942.97,1.83,4.59,-2.76,924.15,950.52,976.89,100.0,96.8
2023-08-24,TATACONSUM,844.0,827.91,-0.62,-0.56,-0.07,831.2,846.48,861.77,48.65,52.48
