Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
20-Apr-23,20MICRONS,83.8,82.2,0.0193,0.0325,0.0324,0.619
20-Apr-23,21STCENMGM,20.05,19.95,0.005,0.0168,0.0168,0.321
20-Apr-23,360ONE,409.8,415.1,-0.0129,0.0214,0.0214,0.4088
20-Apr-23,3IINFOLTD,33.1,33,0.003,0.0281,0.028,0.5349
20-Apr-23,3MINDIA,22627.95,22777.35,-0.0066,0.017,0.017,0.3248
20-Apr-23,3PLAND,23.85,24.15,-0.0125,0.0417,0.0416,0.7948
20-Apr-23,4THDIM,28.15,28.7,-0.0193,0.0179,0.0179,0.342
20-Apr-23,500009,21.81,21.79,0.0009,0.0268,0.0268,0.512
20-Apr-23,500012,63.93,63.52,0.0064,0.0298,0.0297,0.5674
20-Apr-23,500014,4.7,4.69,0.0021,0.0384,0.0383,0.7317
20-Apr-23,500016,12.71,12.8,-0.0071,0.0342,0.0341,0.6515
20-Apr-23,500028,8.07,7.88,0.0238,0.0293,0.0293,0.5598
20-Apr-23,500058,9.23,9,0.0252,0.0275,0.0274,0.5235
20-Apr-23,500068,7924,7863.9,0.0076,0.0186,0.0186,0.3554
20-Apr-23,500069,230.05,230,0.0002,0.0286,0.0286,0.5464
20-Apr-23,500120,475.15,475,0.0003,0.0315,0.0314,0.5999
20-Apr-23,500123,5250.9,5276.1,-0.0048,0.0197,0.0196,0.3745
20-Apr-23,500142,5.94,5.71,0.0395,0.048,0.048,0.917
20-Apr-23,500143,66.86,70.11,-0.0475,0.0368,0.0369,0.705
20-Apr-23,500147,1500.75,1493.55,0.0048,0.0278,0.0278,0.5311
20-Apr-23,500159,80.75,80.03,0.009,0.0291,0.0291,0.556
20-Apr-23,500166,182.9,180,0.016,0.0207,0.0207,0.3955
20-Apr-23,500170,34.01,33.36,0.0193,0.0367,0.0366,0.6992
20-Apr-23,500192,3.01,2.87,0.0476,0.0318,0.0319,0.6094
20-Apr-23,500202,6.99,6.66,0.0484,0.0306,0.0307,0.5865
20-Apr-23,500206,30.19,31.72,-0.0494,0.0478,0.0478,0.9132
20-Apr-23,500213,259.35,245.6,0.0545,0.0348,0.035,0.6687
20-Apr-23,500220,175.7,173.4,0.0132,0.0363,0.0362,0.6916
20-Apr-23,500223,2.27,2.28,-0.0044,0.0397,0.0396,0.7566
20-Apr-23,500236,1.71,1.71,0,0.0348,0.0347,0.6629
20-Apr-23,500239,29.93,28.94,0.0336,0.0332,0.0332,0.6343
20-Apr-23,500240,94.29,92.23,0.0221,0.0303,0.0303,0.5789
20-Apr-23,500246,73.93,77.01,-0.0408,0.0388,0.0388,0.7413
20-Apr-23,500248,2.76,2.76,0,0.0409,0.0408,0.7795
20-Apr-23,500264,48.4,48.02,0.0079,0.0335,0.0334,0.6381
20-Apr-23,500267,137.6,137.2,0.0029,0.0257,0.0256,0.4891
20-Apr-23,500270,212.95,224.15,-0.0513,0.0362,0.0363,0.6935
20-Apr-23,500277,11.26,10.73,0.0482,0.0366,0.0367,0.7012
20-Apr-23,500284,209.35,208.3,0.005,0.0388,0.0388,0.7413
20-Apr-23,500298,1373.55,1355,0.0136,0.0236,0.0235,0.449
20-Apr-23,500306,55.28,51.16,0.0775,0.032,0.0324,0.619
20-Apr-23,500307,379.45,379.95,-0.0013,0.0191,0.0191,0.3649
20-Apr-23,500319,63.06,63.97,-0.0143,0.0342,0.0341,0.6515
20-Apr-23,500346,29.37,28.43,0.0325,0.0338,0.0338,0.6457
20-Apr-23,500357,19.45,19.95,-0.0254,0.0348,0.0348,0.6649
20-Apr-23,500358,4.15,4.17,-0.0048,0.037,0.037,0.7069
20-Apr-23,500360,53.4,52.31,0.0206,0.0341,0.034,0.6496
20-Apr-23,500365,20.1,19.94,0.008,0.0308,0.0307,0.5865
20-Apr-23,500367,68.93,69.09,-0.0023,0.0265,0.0264,0.5044
20-Apr-23,500370,30.99,31.51,-0.0166,0.0393,0.0392,0.7489
20-Apr-23,500388,20,20,0,0.0293,0.0293,0.5598
20-Apr-23,500414,150.4,153.15,-0.0181,0.0333,0.0333,0.6362
20-Apr-23,500422,20.21,20,0.0104,0.0414,0.0413,0.789
20-Apr-23,500426,1.85,1.85,0,0.0369,0.0368,0.7031
20-Apr-23,500449,25.84,25.73,0.0043,0.0296,0.0295,0.5636
20-Apr-23,500450,265.85,254.9,0.0421,0.0273,0.0274,0.5235
20-Apr-23,500458,7.47,7.38,0.0121,0.0348,0.0348,0.6649
20-Apr-23,501110,7.15,7.15,0,0.0032,0.0032,0.0611
20-Apr-23,501111,11.02,11.02,0,0.0028,0.0028,0.0535
20-Apr-23,501144,13.35,13.35,0,0.0017,0.0017,0.0325
20-Apr-23,501148,252.35,252.35,0,0.0144,0.0143,0.2732
20-Apr-23,501151,595,595,0,0.0106,0.0105,0.2006
20-Apr-23,501261,294,294,0,0.0031,0.0031,0.0592
